Quantify Compound Summary Report 

Printed Mon Jul 24 17:06:51 2023

Compound 1:  Ala

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	uM	%Dev
1	1	20230717AY_Water5			1.06	2654.370	525483.375	0.045	bb	0.0	
2	2	20230717AY_Std3-1	Standard	0.000			540928.688		MM-I		
3	3	20230717AY_Std3-2	Standard	0.100	1.06	8343.406	456406.563	0.165	bb	0.1	-9.3
4	4	20230717AY_Std3-3	Standard	0.500	1.06	44210.074	449730.188	0.885	bb	0.5	2.1
5	5	20230717AY_Std3-4	Standard	1.000	1.05	81560.688	426107.094	1.723	bb	1.0	0.2
6	6	20230717AY_Std3-5	Standard	5.000	1.07	351268.656	371432.594	8.511	MM	5.1	2.1
7	7	20230717AY_Std3-6	Standard	10.000	1.06	593953.188	330586.281	16.170	bb	10.0	-0.4
8	8	20230717AY_Std3-7	Standard	50.000	1.05	2089615.125	230737.453	81.506	bb	49.7	-0.6
9	9	20230717AY_Std3-8	Standard	100.000			162076.094		MM-I		
10	10	20230717AY_Water6	Analyte				514127.625				
11	11	20230717AY_Sample2-1	Analyte		1.04	231157.281	359182.813	5.792	bb	3.4	
12	12	20230717AY_Sample2-2	Analyte		1.07	239807.422	364662.719	5.919	MM	3.5	
13	13	20230717AY_Sample2-3	Analyte		1.06	228630.406	349633.719	5.885	bb	3.5	
14	14	20230717AY_Sample2-4	Analyte		1.07	571.380	464124.750	0.011	bb	0.0	
15	15	20230717AY_Sample2-5	Analyte		0.66	281.171	458272.688	0.006	bdI		
16	16	20230717AY_Sample2-6	Analyte		0.78	205.771	533038.188	0.003	dbI		
17	17	20230717AY_Sample2-7	Analyte		1.06	131155.016	405963.500	2.908	bb	1.7	
18	18	20230717AY_Sample2-8	Analyte		1.06	125141.328	380840.594	2.957	MM	1.7	
19	19	20230717AY_Sample2-9	Analyte		1.07	122124.188	398061.344	2.761	MM	1.6	
20	20	20230717AY_Sample2-10	Analyte		1.53	45.186	472806.938	0.001	bbI		
21	21	20230717AY_Sample2-11	Analyte		0.85	748.529	530967.875	0.013	bb	0.0	
22	22	20230717AY_Sample2-12	Analyte		1.07	752.974	526410.438	0.013	bb	0.0	
23	23	20230717AY_Sample2-13	Analyte		1.07	129119.352	330584.969	3.515	bb	2.1	
24	24	20230717AY_Sample2-14	Analyte		1.05	122290.383	317111.719	3.471	bb	2.0	
25	25	20230717AY_Sample2-15	Analyte		1.07	122011.766	320202.125	3.429	bb	2.0	
26	26	20230717AY_Sample2-16	Analyte		1.48	215.383	505081.500	0.004	bbI		
27	27	20230717AY_Sample2-17	Analyte		1.63	296.503	513903.719	0.005	bbI		
28	28	20230717AY_Sample2-18	Analyte		0.86	1100.050	532422.313	0.019	dd	0.0	
29	29	20230717AY_Sample2-19	Analyte		1.07	105923.875	372851.281	2.557	bb	1.5	
30	30	20230717AY_Sample2-20	Analyte		1.05	97290.938	359557.125	2.435	bb	1.4	
31	31	20230717AY_Sample2-21	Analyte		1.05	98014.797	339634.781	2.597	bb	1.5	
