Cap,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
28,00,0,1,shoot,0.00567,0.7,SKT_01,Cd,0.007017606,0.007,0.002572239,3.888494331,0.022047763
29,00,0,1,shoot,0.0034,0.7,SKT_02,Cd,0.006955939,0.007,0.002510572,6.329173109,0.021519189
30,00,0,1,root,4.40E-04,0.9,SKT_03,Cd,0.006087878,0.006,0.001642511,24.8865303,0.010950073
31,00,0,2,shoot,0.02381,0.7,SKT_04,Cd,0.006578702,0.007,0.002133335,0.76798524,0.018285729
32,00,0,2,shoot,0.00592,0.7,SKT_05,Cd,8.61E-04,0.001,0,0,0
33,00,0,2,root,6.60E-04,0.9,SKT_06,Cd,0,0,0,0,0
34,00,0,3,shoot,0.04599,0.7,SKT_07,Cd,0.006337639,0.006,0.001892272,0.352673935,0.016219474
35,00,0,3,shoot,0.01297,0.7,SKT_08,Cd,0.005308046,0.005,8.63E-04,0.570114991,0.007394391
36,00,0,3,root,0.00181,0.7,SKT_09,Cd,0.006270254,0.006,0.001824887,8.641927388,0.015641889
37,00,1,1,shoot,0.0067,0.7,SKT_10,Cd,0.006218319,0.006,0.001772952,2.26816887,0.015196731
38,00,1,1,shoot,0.00494,0.7,SKT_11,Cd,0.004898394,0.005,4.53E-04,0.786050318,0.003883089
39,00,1,1,root,4.50E-04,0.9,SKT_12,Cd,0.006316509,0.006,0.001871142,27.72062222,0.01247428
40,00,1,2,shoot,0.02266,0.7,SKT_13,Cd,0.005711163,0.006,0.001265796,0.478803177,0.01084968
41,00,1,2,shoot,0.0201,0.7,SKT_14,Cd,0.005744536,0.006,0.001299169,0.554016631,0.011135734
42,00,1,2,root,0.00206,0.7,SKT_15,Cd,0.00483294,0.005,3.88E-04,1.612647712,0.003322054
43,00,1,3,shoot,0.05449,0.7,SKT_16,Cd,0.004222068,0.004,0,0,0
44,00,1,3,shoot,0.03535,0.7,SKT_17,Cd,0.006242899,0.006,0.001797532,0.435853385,0.015407417
45,00,1,3,root,0.00493,0.7,SKT_18,Cd,0,0,0,0,0
46,00,2,1,shoot,0.00734,0.7,SKT_19,Cd,0.006680086,0.007,0.002234719,2.609636824,0.019154734
47,00,2,1,shoot,0.00558,0.7,SKT_20,Cd,NA,NA,NA,NA,NA
48,00,2,1,root,6.90E-04,0.9,SKT_21,Cd,0.005609245,0.006,0.001163878,11.24519807,0.007759187
49,00,2,2,shoot,0.03089,0.7,SKT_22,Cd,0.005740457,0.006,0.00129509,0.359364566,0.011100771
50,00,2,2,shoot,0.0157,0.7,SKT_23,Cd,0.004626649,0.005,1.81E-04,0.098971065,0.001553846
51,00,2,2,root,0.00293,0.7,SKT_24,Cd,0.005108282,0.005,6.63E-04,1.939293028,0.005682129
52,00,2,3,shoot,0.05331,0.7,SKT_25,Cd,0.005070288,0.005,6.25E-04,0.100477691,0.005356466
53,00,2,3,shoot,0.01395,0.7,SKT_26,Cd,0.004426483,0.004,0,0,0
54,00,2,3,root,0.0067,0.7,SKT_27,Cd,0.005589393,0.006,0.001144026,1.463572708,0.009805937
28,00,0,1,shoot,0.00567,0.7,SKT_01,Na,0.232370428,0.232,0,0,0
