Sample ID,Samp Number,Analyte Name,Elem,Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp)
C1,1,Cd 228.802,Cd,0.003097973,0.003097973,0.003,0.003
C2,2,Cd 228.802,Cd,0.007452141,0.007452141,0.007,0.007
C1b,24,Cd 228.802,Cd,-2.97E-05,-2.97E-05,0,0
C2b,25,Cd 228.802,Cd,-0.002979958,-0.002979958,-0.003,-0.003
C3c,63,Cd 228.802,Cd,0.006133241,0.006133241,0.006,0.006
C3,3,Cd 228.802,Cd,0.008615617,0.008615617,0.009,0.009
C3b,26,Cd 228.802,Cd,0.006625395,0.006625395,0.007,0.007
C1c,61,Cd 228.802,Cd,0.005281251,0.005281251,0.005,0.005
C2c,62,Cd 228.802,Cd,0.005812346,0.005812346,0.006,0.006
,,,,0.004445367,,0.004444444,
C1,1,Fe 238.204,Fe,0.0227416,0.0227416,0.023,0.023
C2,2,Fe 238.204,Fe,0.020794089,0.020794089,0.021,0.021
C1b,24,Fe 238.204,Fe,0.012434484,0.012434484,0.012,0.012
C2b,25,Fe 238.204,Fe,0.017885929,0.017885929,0.018,0.018
C3c,63,Fe 238.204,Fe,0.019954742,0.019954742,0.02,0.02
C3,3,Fe 238.204,Fe,0.023745732,0.023745732,0.024,0.024
C3b,26,Fe 238.204,Fe,0.023678378,0.023678378,0.024,0.024
C1c,61,Fe 238.204,Fe,0.025418634,0.025418634,0.025,0.025
C2c,62,Fe 238.204,Fe,0.027648523,0.027648523,0.028,0.028
,,,,0.021589123,,0.021666667,
C1,1,K 766.490,K,0.078178804,0.078178804,0.078,0.078
C2,2,K 766.490,K,0.058410096,0.058410096,0.058,0.058
C1b,24,K 766.490,K,-0.038072562,-0.038072562,-0.038,-0.038
C2b,25,K 766.490,K,0.039562804,0.039562804,0.04,0.04
C3c,63,K 766.490,K,0.045825354,0.045825354,0.046,0.046
C3,3,K 766.490,K,0.054976429,0.054976429,0.055,0.055
C3b,26,K 766.490,K,0.044024866,0.044024866,0.044,0.044
C1c,61,K 766.490,K,0.064698082,0.064698082,0.065,0.065
C2c,62,K 766.490,K,0.079639226,0.079639226,0.08,0.08
,,,,0.047471455,,0.047555556,
C1,1,Na 589.592,Na,0.346741529,0.346741529,0.347,0.347
C2,2,Na 589.592,Na,0.340491394,0.340491394,0.34,0.34
C1b,24,Na 589.592,Na,,,,
C2b,25,Na 589.592,Na,0.342669615,0.342669615,0.343,0.343
C3c,63,Na 589.592,Na,0.347221225,0.347221225,0.347,0.347
C3,3,Na 589.592,Na,0.380814661,0.380814661,0.381,0.381
C3b,26,Na 589.592,Na,0.370926459,0.370926459,0.371,0.371
C1c,61,Na 589.592,Na,0.376740161,0.376740161,0.377,0.377
C2c,62,Na 589.592,Na,0.398157946,0.398157946,0.398,0.398
,,,,0.362970374,,0.363,
C1,1,Zn 206.200,Zn,0.00756701,0.00756701,0.008,0.008
C2,2,Zn 206.200,Zn,0.006809202,0.006809202,0.007,0.007
C1b,24,Zn 206.200,Zn,0.003117782,0.003117782,0.003,0.003
C2b,25,Zn 206.200,Zn,0.007298428,0.007298428,0.007,0.007
C3c,63,Zn 206.200,Zn,0.007468303,0.007468303,0.007,0.007
C3,3,Zn 206.200,Zn,0.007279578,0.007279578,0.007,0.007
C3b,26,Zn 206.200,Zn,0.007705195,0.007705195,0.008,0.008
C1c,61,Zn 206.200,Zn,0.00763821,0.00763821,0.008,0.008
C2c,62,Zn 206.200,Zn,0.007835214,0.007835214,0.008,0.008
,,,,0.006968769,,0.007,
