Cap#,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,Cd,0.007017606,0.007
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,Cd,0.006955939,0.007
30,0,0,0,1,root,0,0.00044,0.9,SKT_03,Cd,0.006087878,0.006
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,Cd,0.006578702,0.007
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,Cd,0.000861246,0.001
33,0,0,0,2,root,0.075,0.00066,0.9,SKT_06,Cd,-0.000109581,0
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,Cd,0.006337639,0.006
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,Cd,0.005308046,0.005
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,Cd,0.006270254,0.006
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,Cd,0.006218319,0.006
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,Cd,0.004898394,0.005
39,0,0,1,1,root,0.015,0.00045,0.9,SKT_12,Cd,0.006316509,0.006
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,Cd,0.005711163,0.006
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,Cd,0.005744536,0.006
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,Cd,0.00483294,0.005
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,Cd,0.004222068,0.004
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,Cd,0.006242899,0.006
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,Cd,-3.60E-06,0
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,Cd,0.006680086,0.007
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,Cd,0.00454305,0.005
48,0,0,2,1,root,0.01,0.00069,0.9,SKT_21,Cd,0.005609245,0.006
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,Cd,0.005740457,0.006
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,Cd,0.004626649,0.005
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,Cd,0.005108282,0.005
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,Cd,0.005070288,0.005
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,Cd,0.004426483,0.004
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,Cd,0.005589393,0.006
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,Cd,0.004871271,0.005
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,Cd,0.005593689,0.006
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,Cd,0.01153642,0.012
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,Cd,0.005529956,0.006
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,Cd,0.00505236,0.005
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,Cd,0.009072841,0.009
88,1,1,0,3,old leaf,0.123,0.01696,0.7,SKT_34,Cd,0.005463773,0.005
89,1,1,0,3,young leaf,0.117,0.02156,0.7,SKT_35,Cd,0.004604436,0.005
90,1,1,0,3,root,0.333,0.00338,0.7,SKT_36,Cd,0.013420966,0.013
91,1,1,1,1,old leaf,0.224,0.02091,0.7,SKT_37,Cd,0.009507669,0.01
92,1,1,1,1,young leaf,0.084,0.00779,0.7,SKT_38,Cd,0.007524127,0.008
93,1,1,1,1,root,0.232,0.0019,0.7,SKT_39,Cd,0.01033172,0.01
94,1,1,1,2,old leaf,0.539,0.08039,0.7,SKT_40,Cd,0.007875554,0.008
95,1,1,1,2,young leaf,0.147,0.02439,0.7,SKT_41,Cd,0.006790051,0.007
96,1,1,1,2,root,0.212,0.00086,0.9,SKT_42,Cd,0.022164368,0.022
97,1,1,1,3,old leaf,0.134,0.02143,0.7,SKT_43,Cd,0.00550368,0.006
98,1,1,1,3,young leaf,0.06,0.01283,0.7,SKT_44,Cd,0.004174916,0.004
99,1,1,1,3,root,0.425,0.00403,0.7,SKT_45,Cd,0.016842301,0.017
100,1,1,2,1,old leaf,,0.01067,0.7,SKT_46,Cd,0.01762088,0.018
101,1,1,2,1,young leaf,,0.0064,0.7,SKT_47,Cd,0.014558885,0.015
102,1,1,2,1,root,,0.00558,0.7,SKT_48,Cd,0.072988592,0.073
103,1,1,2,2,old leaf,,0.08275,0.7,SKT_49,Cd,0.007321494,0.007
104,1,1,2,2,young leaf,,0.02628,0.7,SKT_50,Cd,0.006536758,0.007
105,1,1,2,2,root,,0.01388,0.7,SKT_51,Cd,0.703041569,0.703
106,1,1,2,3,old leaf,,0.02069,0.7,SKT_52,Cd,0.001247143,0.001
107,1,1,2,3,young leaf,,0.01375,0.7,SKT_53,Cd,0.006803966,0.007
108,1,1,2,3,root,,0.00681,0.7,SKT_54,Cd,0.023100468,0.023
