Cap#,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,Fe,0.054628782,0.055
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,Fe,0.065591387,0.066
30,0,0,0,1,root,0,0.00044,0.9,SKT_03,Fe,0.148504697,0.149
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,Fe,0.067134661,0.067
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,Fe,0.063116395,0.063
33,0,0,0,2,root,0.075,0.00066,0.9,SKT_06,Fe,0.657769733,0.658
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,Fe,0.146591075,0.147
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,Fe,0.059422237,0.059
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,Fe,1.357710281,1.358
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,Fe,0.055182942,0.055
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,Fe,0.027077949,0.027
39,0,0,1,1,root,0.015,0.00045,0.9,SKT_12,Fe,0.278125616,0.278
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,Fe,0.075399874,0.075
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,Fe,0.068902461,0.069
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,Fe,0.974981617,0.975
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,Fe,0.178712712,0.179
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,Fe,0.137595729,0.138
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,Fe,3.417441045,3.417
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,Fe,0.038832602,0.039
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,Fe,0.012628421,0.013
48,0,0,2,1,root,0.01,0.00069,0.9,SKT_21,Fe,0.194413892,0.194
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,Fe,0.102463205,0.102
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,Fe,0.060148386,0.06
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,Fe,1.071670794,1.072
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,Fe,0.20136834,0.201
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,Fe,0.106008803,0.106
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,Fe,3.868826774,3.869
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,Fe,0.149019294,0.149
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,Fe,0.120386719,0.12
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,Fe,3.962669837,3.963
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,Fe,0.676990616,0.677
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,Fe,0.29654366,0.297
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,Fe,3.973202778,3.973
88,1,1,0,3,old leaf,0.123,0.01696,0.7,SKT_34,Fe,0.372504097,0.373
89,1,1,0,3,young leaf,0.117,0.02156,0.7,SKT_35,Fe,0.170970438,0.171
90,1,1,0,3,root,0.333,0.00338,0.7,SKT_36,Fe,4.710201461,4.71
91,1,1,1,1,old leaf,0.224,0.02091,0.7,SKT_37,Fe,0.166678479,0.167
92,1,1,1,1,young leaf,0.084,0.00779,0.7,SKT_38,Fe,0.106299997,0.106
93,1,1,1,1,root,0.232,0.0019,0.7,SKT_39,Fe,2.531774624,2.532
94,1,1,1,2,old leaf,0.539,0.08039,0.7,SKT_40,Fe,1.420860646,1.421
95,1,1,1,2,young leaf,0.147,0.02439,0.7,SKT_41,Fe,0.232639776,0.233
96,1,1,1,2,root,0.212,0.00086,0.9,SKT_42,Fe,3.538791161,3.539
97,1,1,1,3,old leaf,0.134,0.02143,0.7,SKT_43,Fe,0.681343172,0.681
98,1,1,1,3,young leaf,0.06,0.01283,0.7,SKT_44,Fe,0.093295992,0.093
99,1,1,1,3,root,0.425,0.00403,0.7,SKT_45,Fe,6.193852095,6.194
100,1,1,2,1,old leaf,,0.01067,0.7,SKT_46,Fe,0.139762246,0.14
101,1,1,2,1,young leaf,,0.0064,0.7,SKT_47,Fe,0.081531523,0.082
102,1,1,2,1,root,,0.00558,0.7,SKT_48,Fe,4.556478243,4.556
103,1,1,2,2,old leaf,,0.08275,0.7,SKT_49,Fe,0.840369721,0.84
104,1,1,2,2,young leaf,,0.02628,0.7,SKT_50,Fe,0.254059433,0.254
105,1,1,2,2,root,,0.01388,0.7,SKT_51,Fe,5.127359158,5.127
106,1,1,2,3,old leaf,,0.02069,0.7,SKT_52,Fe,0.545572862,0.546
107,1,1,2,3,young leaf,,0.01375,0.7,SKT_53,Fe,0.154738233,0.155
108,1,1,2,3,root,,0.00681,0.7,SKT_54,Fe,7.355157078,7.355
