Cap,Salt,Cadmium,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
1,1,0,10,0,1,old leaf,0.10951,0.4,Cd,0.006914733,0.007,0.003384727,4.64E-04,0.050770905
2,1,0,10,0,1,young leaf,0.026,0.5,Cd,0.00611559,0.006,0.002585584,0.001193346,0.031027008
3,1,0,10,0,1,root,0.0029,0.7,Cd,0.005947642,0.006,0.002417636,0.007145722,0.020722594
4,1,0,10,0,2,old leaf,0.04946,0.5,Cd,0,0,0,0,0
5,1,0,10,0,2,young leaf,0.01384,0.7,Cd,0.005612998,0.006,0.002082992,0.001290045,0.017854217
6,1,0,10,0,2,root,8.70E-04,0.7,Cd,0.005334704,0.005,0.001804698,0.017780276,0.01546884
7,1,0,10,0,3,old leaf,0.06652,0.4,Cd,0.005535709,0.006,0.002005703,4.52E-04,0.030085545
8,1,0,10,0,3,young leaf,0.04741,0.5,Cd,0.00551147,0.006,0.001981464,5.02E-04,0.023777568
9,1,0,10,0,3,root,0.00169,0.7,Cd,0.00458236,0.005,0.001052354,0.005337383,0.009020177
10,1,0,10,1,1,old leaf,0.06685,0.4,Cd,0.005554372,0.006,0.002024366,4.54E-04,0.03036549
11,1,0,10,1,1,young leaf,0.0075,0.7,Cd,0.006382888,0.006,0.002852882,0.003260437,0.024453274
12,1,0,10,1,1,root,0.00146,0.7,Cd,0.005083094,0.005,0.001553088,0.009117933,0.013312183
13,1,0,10,1,2,old leaf,0.01357,0.7,Cd,0.005328441,0.005,0.001798435,0.001135973,0.015415157
14,1,0,10,1,2,young leaf,0.00244,0.7,Cd,0.004367492,0.004,8.37E-04,0.002941988,0.007178451
15,1,0,10,1,2,root,8.60E-04,0.7,Cd,0.00409965,0.004,5.70E-04,0.005677515,0.004882663
16,1,0,10,1,3,old leaf,0.03447,0.5,Cd,0.004607017,0.005,0.001077011,3.75E-04,0.012924132
17,1,0,10,1,3,young leaf,0.01089,0.7,Cd,0.00443448,0.004,9.04E-04,7.12E-04,0.007752634
18,1,0,10,1,3,root,0.0102,0.7,Cd,0,0,0,0,0
19,1,0,10,2,1,old leaf,0.03178,0.5,Cd,0,0,0,0,0
20,1,0,10,2,1,young leaf,0.00796,0.7,Cd,0.005584718,0.006,0.002054712,0.00221254,0.017611817
21,1,0,10,2,1,root,0.00145,0.7,Cd,0.005037513,0.005,0.001507507,0.008911371,0.012921489
22,1,0,10,2,2,old leaf,0.01486,0.7,Cd,0,0,0,0,0
23,1,0,10,2,2,young leaf,0.00285,0.7,Cd,0.002398255,0.002,0,0,0
24,1,0,10,2,2,root,0.00329,0.7,Cd,0.004840934,0.005,0.001310928,0.003415357,0.011236526
25,1,0,10,2,3,old leaf,0.03215,0.5,Cd,0.003852071,0.004,3.22E-04,1.20E-04,0.00386478
26,1,0,10,2,3,young leaf,0.0097,0.7,Cd,0.005054315,0.005,0.001524309,0.001346959,0.013065506
27,1,0,10,2,3,root,0.0043,0.7,Cd,0.003550979,0.004,2.10E-05,4.18E-05,1.80E-04
55,0,1,01,0,1,old leaf,0.01027,0.7,Cd,0.004755512,0.005,0.001225506,0.001022818,0.010504337
56,0,1,01,0,1,young leaf,0.01377,0.7,Cd,0.0043047,0.004,7.75E-04,4.82E-04,0.006640234
57,0,1,01,0,1,root,0.00161,0.7,Cd,0.003080202,0.003,0,0,0
