Cap#,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,K,0.533033335,0.533
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,K,1.694468047,1.694
30,0,0,0,1,root,0,0.00044,0.9,SKT_03,K,0.216571191,0.217
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,K,44.14494263,44.14
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,K,12.04193466,12.04
33,0,0,0,2,root,0.075,0.00066,0.9,SKT_06,K,0.600823751,0.601
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,K,116.2805266,116.3
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,K,27.0628358,27.06
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,K,1.804747111,1.805
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,K,0.617271972,0.617
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,K,2.238854865,2.239
39,0,0,1,1,root,0.015,0.00045,0.9,SKT_12,K,0.90575131,0.906
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,K,17.60369417,17.6
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,K,39.45252466,39.45
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,K,2.332282559,2.332
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,K,74.14966053,74.15
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,K,79.40295219,79.4
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,K,4.352293672,4.352
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,K,6.859314566,6.859
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,K,-0.019123835,-0.019
48,0,0,2,1,root,0.01,0.00069,0.9,SKT_21,K,0.299684729,0.3
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,K,30.98942627,30.99
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,K,30.6821845,30.68
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,K,2.976986536,2.977
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,K,112.5078324,112.5
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,K,30.61299849,30.61
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,K,3.060386312,3.06
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,K,61.3587165,61.36
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,K,19.97947634,19.98
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,K,2.045874858,2.046
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,K,29.91204354,29.91
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,K,40.12553205,40.13
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,K,0.363329625,0.363
88,1,1,0,3,old leaf,0.123,0.01696,0.7,SKT_34,K,54.45747417,54.46
89,1,1,0,3,young leaf,0.117,0.02156,0.7,SKT_35,K,39.60379047,39.6
90,1,1,0,3,root,0.333,0.00338,0.7,SKT_36,K,0.660730373,0.661
91,1,1,1,1,old leaf,0.224,0.02091,0.7,SKT_37,K,42.95484613,42.95
92,1,1,1,1,young leaf,0.084,0.00779,0.7,SKT_38,K,18.11536522,18.12
93,1,1,1,1,root,0.232,0.0019,0.7,SKT_39,K,0.54754688,0.548
94,1,1,1,2,old leaf,0.539,0.08039,0.7,SKT_40,K,77.20033298,77.2
95,1,1,1,2,young leaf,0.147,0.02439,0.7,SKT_41,K,36.31522871,36.32
96,1,1,1,2,root,0.212,0.00086,0.9,SKT_42,K,0.273986214,0.274
97,1,1,1,3,old leaf,0.134,0.02143,0.7,SKT_43,K,59.55135398,59.55
98,1,1,1,3,young leaf,0.06,0.01283,0.7,SKT_44,K,21.76060446,21.76
99,1,1,1,3,root,0.425,0.00403,0.7,SKT_45,K,0.393209845,0.393
100,1,1,2,1,old leaf,,0.01067,0.7,SKT_46,K,42.48089737,42.48
101,1,1,2,1,young leaf,,0.0064,0.7,SKT_47,K,20.91934849,20.92
102,1,1,2,1,root,,0.00558,0.7,SKT_48,K,0.840810104,0.841
103,1,1,2,2,old leaf,,0.08275,0.7,SKT_49,K,87.74578687,87.75
104,1,1,2,2,young leaf,,0.02628,0.7,SKT_50,K,40.8320166,40.83
105,1,1,2,2,root,,0.01388,0.7,SKT_51,K,2.100492145,2.1
106,1,1,2,3,old leaf,,0.02069,0.7,SKT_52,K,52.50185063,52.5
107,1,1,2,3,young leaf,,0.01375,0.7,SKT_53,K,24.50101506,24.5
108,1,1,2,3,root,,0.00681,0.7,SKT_54,K,0.542964982,0.543
