Cap	Salt	Cadmium	Timepoint	Plant	TissueType	WetWeight	DryWeight	VolDigestUsed	Sample	Element	ConcSamp	ConcRep
28	0	0	0	1	old leaf	0.045	0.00567	0.7	SKT_01	Na	0.232370428	0.232
29	0	0	0	1	young leaf	0.022	0.0034	0.7	SKT_02	Na	0.227859393	0.228
30	0	0	0	1	root	0	0.00044	0.9	SKT_03	Na	0.279103879	0.279
31	0	0	0	2	old leaf	0.241	0.02381	0.7	SKT_04	Na	1.968999667	1.969
32	0	0	0	2	young leaf	0.055	0.00592	0.7	SKT_05	Na	0.430906712	0.431
33	0	0	0	2	root	0.075	0.00066	0.9	SKT_06	Na	0.464336331	0.464
34	0	0	0	3	old leaf	0.385	0.04599	0.7	SKT_07	Na	2.616565822	2.617
35	0	0	0	3	young leaf	0.114	0.01297	0.7	SKT_08	Na	0.626883913	0.627
36	0	0	0	3	root	0.087	0.00181	0.7	SKT_09	Na	0.718587064	0.719
37	0	0	1	1	old leaf	0.054	0.0067	0.7	SKT_10	Na	0.227759537	0.228
38	0	0	1	1	young leaf	0.037	0.00494	0.7	SKT_11	Na	0.251450512	0.251
39	0	0	1	1	root	0.015	0.00045	0.9	SKT_12	Na	0.487308012	0.487
40	0	0	1	2	old leaf	0.188	0.02266	0.7	SKT_13	Na	1.001714336	1.002
41	0	0	1	2	young leaf	0.147	0.0201	0.7	SKT_14	Na	0.973078148	0.973
42	0	0	1	2	root	0.081	0.00206	0.7	SKT_15	Na	0.909096004	0.909
43	0	0	1	3	old leaf	0.516	0.05449	0.7	SKT_16	Na	3.834934292	3.835
44	0	0	1	3	young leaf	0.304	0.03535	0.7	SKT_17	Na	1.947944119	1.948
45	0	0	1	3	root	0.122	0.00493	0.7	SKT_18	Na	2.32391997	2.324
46	0	0	2	1	old leaf	0.065	0.00734	0.7	SKT_19	Na	0.312555098	0.313
47	0	0	2	1	young leaf	0.066	0.00558	0.7	SKT_20	Na	0.065292153	0.065
48	0	0	2	1	root	0.01	0.00069	0.9	SKT_21	Na	0.341303755	0.341
49	0	0	2	2	old leaf	0.266	0.03089	0.7	SKT_22	Na	1.011704234	1.012
50	0	0	2	2	young leaf	0.129	0.0157	0.7	SKT_23	Na	0.801321637	0.801
51	0	0	2	2	root	0.087	0.00293	0.7	SKT_24	Na	0.747384013	0.747
52	0	0	2	3	old leaf	0.417	0.05331	0.7	SKT_25	Na	4.154489362	4.154
53	0	0	2	3	young leaf	0.115	0.01395	0.7	SKT_26	Na	0.730368163	0.73
54	0	0	2	3	root	0.165	0.0067	0.7	SKT_27	Na	1.444870853	1.445
82	1	1	0	1	old leaf	0.24	0.02167	0.7	SKT_28	Na	1.61303941	1.613
83	1	1	0	1	young leaf	0.078	0.00766	0.7	SKT_29	Na	0.495536287	0.496
84	1	1	0	1	root	0.324	0.00413	0.7	SKT_30	Na	2.274776827	2.275
85	1	1	0	2	old leaf	0.668	0.08326	0.7	SKT_31	Na	5.228278792	5.228
86	1	1	0	2	young leaf	0.165	0.02175	0.7	SKT_32	Na	1.158044737	1.158
87	1	1	0	2	root	0.357	0.00262	0.7	SKT_33	Na	1.421345259	1.421
88	1	1	0	3	old leaf	0.123	0.01696	0.7	SKT_34	Na	1.163728551	1.164
89	1	1	0	3	young leaf	0.117	0.02156	0.7	SKT_35	Na	0.615133044	0.615
90	1	1	0	3	root	0.333	0.00338	0.7	SKT_36	Na	1.787859262	1.788
91	1	1	1	1	old leaf	0.224	0.02091	0.7	SKT_37	Na	25.20815017	25.21
92	1	1	1	1	young leaf	0.084	0.00779	0.7	SKT_38	Na	9.230455333	9.23
93	1	1	1	1	root	0.232	0.0019	0.7	SKT_39	Na	1.336243817	1.336
94	1	1	1	2	old leaf	0.539	0.08039	0.7	SKT_40	Na	6.134839295	6.135
95	1	1	1	2	young leaf	0.147	0.02439	0.7	SKT_41	Na	1.025494783	1.025
96	1	1	1	2	root	0.212	0.00086	0.9	SKT_42	Na	1.165900764	1.166
97	1	1	1	3	old leaf	0.134	0.02143	0.7	SKT_43	Na	1.279403837	1.279
98	1	1	1	3	young leaf	0.06	0.01283	0.7	SKT_44	Na	0.458204772	0.458
99	1	1	1	3	root	0.425	0.00403	0.7	SKT_45	Na	2.577744981	2.578
100	1	1	2	1	old leaf		0.01067	0.7	SKT_46	Na	12.05880905	12.06
101	1	1	2	1	young leaf		0.0064	0.7	SKT_47	Na	22.87231723	22.87
102	1	1	2	1	root		0.00558	0.7	SKT_48	Na	3.930866239	3.931
103	1	1	2	2	old leaf		0.08275	0.7	SKT_49	Na	7.528781824	7.529
104	1	1	2	2	young leaf		0.02628	0.7	SKT_50	Na	1.332935159	1.333
105	1	1	2	2	root		0.01388	0.7	SKT_51	Na	13.37172193	13.37
106	1	1	2	3	old leaf		0.02069	0.7	SKT_52	Na	1.185362028	1.185
107	1	1	2	3	young leaf		0.01375	0.7	SKT_53	Na	0.637177394	0.637
108	1	1	2	3	root		0.00681	0.7	SKT_54	Na	4.295799128	4.296
