Cap,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,Cd,0.007017606,0.007,0.0025722389999999996,0.003888494331065759,0.022047762857142855
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,Cd,0.006955939,0.007,0.002510572,0.006329173109243698,0.021519188571428573
30,0,0,0,1,root,0,4.4e-4,0.9,SKT_03,Cd,0.006087878,0.006,0.0016425109999999993,0.024886530303030292,0.010950073333333329
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,Cd,0.006578702,0.007,0.0021333349999999992,7.679852402951938e-4,0.018285728571428565
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,Cd,8.61246e-4,0.001,0,0,0
33,0,0,0,2,root,0.075,6.6e-4,0.9,SKT_06,Cd,0,0,0,0,0
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,Cd,0.006337639,0.006,0.0018922719999999995,3.526739353275556e-4,0.016219474285714283
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,Cd,0.005308046,0.005,8.626789999999999e-4,5.701149906377353e-4,0.007394391428571428
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,Cd,0.006270254,0.006,0.0018248869999999999,0.008641927387529598,0.01564188857142857
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,Cd,0.006218319,0.006,0.0017729519999999995,0.0022681688699360335,0.015196731428571425
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,Cd,0.004898394,0.005,4.5302699999999994e-4,7.860503181029496e-4,0.003883088571428571
39,0,0,1,1,root,0.015,4.5e-4,0.9,SKT_12,Cd,0.006316509,0.006,0.0018711419999999993,0.027720622222222213,0.012474279999999996
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,Cd,0.005711163,0.006,0.0012657959999999996,4.78803177405119e-4,0.010849679999999997
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,Cd,0.005744536,0.006,0.0012991689999999993,5.540166311300636e-4,0.01113573428571428
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,Cd,0.00483294,0.005,3.8757299999999956e-4,0.0016126477115117875,0.003322054285714282
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,Cd,0.004222068,0.004,0,0,0
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,Cd,0.006242899,0.006,0.0017975319999999993,4.358533845221255e-4,0.015407417142857137
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,Cd,0,0,0,0,0
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,Cd,0.006680086,0.007,0.0022347189999999996,0.002609636823666796,0.019154734285714282
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,Cd,0.00454305,0.005,9.768299999999945e-5,1.5005069124423878e-4,8.372828571428524e-4
48,0,0,2,1,root,0.01,6.9e-4,0.9,SKT_21,Cd,0.005609245,0.006,0.0011638779999999993,0.011245198067632845,0.007759186666666662
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,Cd,0.005740457,0.006,0.0012950899999999996,3.593645655089487e-4,0.011100771428571425
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,Cd,0.004626649,0.005,1.8128199999999962e-4,9.897106460418543e-5,0.0015538457142857112
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,Cd,0.005108282,0.005,6.629149999999992e-4,0.0019392930277913189,0.005682128571428564
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,Cd,0.005070288,0.005,6.249209999999996e-4,1.0047769113272766e-4,0.005356465714285712
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,Cd,0.004426483,0.004,0,0,0
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,Cd,0.005589393,0.006,0.0011440259999999994,0.0014635727078891251,0.009805937142857138
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,Cd,0.004871271,0.005,4.259039999999995e-4,1.6846357703210479e-4,0.0036506057142857103
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,Cd,0.005593689,0.006,0.0011483219999999994,0.001284955613577023,0.009842759999999996
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,Cd,0.01153642,0.012,0.007091053,0.014716817018332757,0.06078045428571428
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,Cd,0.005529956,0.006,0.0010845889999999995,1.1165598297930745e-4,0.009296477142857138
