Sample ID,Samp Number,Sample Units,Analyte Name,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
Calib Blank 1,0, ,Cd 228.802,Cd,228.801,-1095.448596,3.447055873,37.76072515, , ,[0.00], ,0,0, ,mg/L,mg/L,1,4/25/2022,10:58:36 AM,2,4/25/2022,10:58:48 AM,3,4/25/2022,10:58:59 AM
Calib Blank 1,0, ,K 766.490,K,766.493,179284.5035,0.1515723645,271.7457612, , ,[0.00], ,0,0, ,mg/L,mg/L,1,4/25/2022,10:59:15 AM,2,4/25/2022,10:59:20 AM,3,4/25/2022,10:59:23 AM
Calib Blank 1,0, ,Na 589.592,Na,589.595,103475.8948,0.8029491604,830.8588282, , ,[0.00], ,0,0, ,mg/L,mg/L,1,4/25/2022,10:59:30 AM,2,4/25/2022,10:59:35 AM,3,4/25/2022,10:59:39 AM
Calib Blank 1,0, ,Fe 238.204,Fe,238.204,-897.6856278,11.62658173,104.3701532, , ,[0.00], ,0,0, ,mg/L,mg/L,1,4/25/2022,10:59:47 AM,2,4/25/2022,10:59:58 AM,3,4/25/2022,11:00:08 AM
Calib Blank 1,0, ,Zn 206.200,Zn,206.201,133.2299638,17.90261945,23.8516534, , ,[0.00], ,0,0, ,mg/L,mg/L,1,4/25/2022,11:00:19 AM,2,4/25/2022,11:00:32 AM,3,4/25/2022,11:00:42 AM
1,0, ,Cd 228.802,Cd,228.801,4466.244215,8.011354318,357.8066488, , ,[0.01], ,1.64636127e-006,1.64636127e-010, ,mg/L,mg/L,1,4/25/2022,11:03:06 AM,2,4/25/2022,11:03:17 AM,3,4/25/2022,11:03:27 AM
1,0, ,Fe 238.204,Fe,238.204,1639.727648,5.881344522,96.43803219, , ,[0.01], ,1.64636127e-006,1.64636127e-010, ,mg/L,mg/L,1,4/25/2022,11:03:40 AM,2,4/25/2022,11:03:50 AM,3,4/25/2022,11:03:58 AM
1,0, ,Zn 206.200,Zn,206.201,926.089508,0.3600244977,3.3341491, , ,[0.01], ,1.64636127e-006,1.64636127e-010, ,mg/L,mg/L,1,4/25/2022,11:04:09 AM,2,4/25/2022,11:04:21 AM,3,4/25/2022,11:04:32 AM
2,0, ,Cd 228.802,Cd,228.801,19207.62381,0.6429935067,123.5037739, , ,[0.05], ,1.317089016e-006,6.58544508e-010, ,mg/L,mg/L,1,4/25/2022,11:06:55 AM,2,4/25/2022,11:07:04 AM,3,4/25/2022,11:07:12 AM
2,0, ,K 766.490,K,766.493,6220.984276,5.109487917,317.8604399, , ,[0.05], ,1.317089016e-006,6.58544508e-010, ,mg/L,mg/L,1,4/25/2022,11:07:25 AM,2,4/25/2022,11:07:29 AM,3,4/25/2022,11:07:32 AM
