Sample,Element,ConcSamp,ConcRep
SKT_01,Cd,0.007017606,0.007
SKT_01,K,0.533033335,0.533
SKT_01,Na,0.232370428,0.232
SKT_01,Fe,0.054628782,0.055
SKT_01,Zn,0.04180055,0.042
SKT_02,Cd,0.006955939,0.007
SKT_02,K,1.694468047,1.694
SKT_02,Na,0.227859393,0.228
SKT_02,Fe,0.065591387,0.066
SKT_02,Zn,0.01225612,0.012
SKT_03,Cd,0.006087878,0.006
SKT_03,K,0.216571191,0.217
SKT_03,Na,0.279103879,0.279
SKT_03,Fe,0.148504697,0.149
SKT_03,Zn,0.028712138,0.029
SKT_04,Cd,0.006578702,0.007
SKT_04,K,44.14494263,44.14
SKT_04,Na,1.968999667,1.969
SKT_04,Fe,0.067134661,0.067
SKT_04,Zn,0.561377984,0.561
SKT_05,Cd,0.000861246,0.001
SKT_05,K,12.04193466,12.04
SKT_05,Na,0.430906712,0.431
SKT_05,Fe,0.063116395,0.063
SKT_05,Zn,0.052725938,0.053
SKT_06,Cd,-0.000109581,0
SKT_06,K,0.600823751,0.601
SKT_06,Na,0.464336331,0.464
SKT_06,Fe,0.657769733,0.658
SKT_06,Zn,0.05208919,0.052
SKT_07,Cd,0.006337639,0.006
SKT_07,K,116.2805266,116.3
SKT_07,Na,2.616565822,2.617
SKT_07,Fe,0.146591075,0.147
SKT_07,Zn,0.175775612,0.176
SKT_08,Cd,0.005308046,0.005
SKT_08,K,27.0628358,27.06
SKT_08,Na,0.626883913,0.627
SKT_08,Fe,0.059422237,0.059
SKT_08,Zn,0.120849231,0.121
SKT_09,Cd,0.006270254,0.006
SKT_09,K,1.804747111,1.805
SKT_09,Na,0.718587064,0.719
SKT_09,Fe,1.357710281,1.358
SKT_09,Zn,0.067766654,0.068
SKT_10,Cd,0.006218319,0.006
SKT_10,K,0.617271972,0.617
SKT_10,Na,0.227759537,0.228
SKT_10,Fe,0.055182942,0.055
SKT_10,Zn,0.05156052,0.052
SKT_11,Cd,0.004898394,0.005
SKT_11,K,2.238854865,2.239
SKT_11,Na,0.251450512,0.251
SKT_11,Fe,0.027077949,0.027
SKT_11,Zn,0.029705494,0.03
SKT_12,Cd,0.006316509,0.006
SKT_12,K,0.90575131,0.906
SKT_12,Na,0.487308012,0.487
SKT_12,Fe,0.278125616,0.278
SKT_12,Zn,0.043587518,0.044
SKT_13,Cd,0.005711163,0.006
SKT_13,K,17.60369417,17.6
SKT_13,Na,1.001714336,1.002
SKT_13,Fe,0.075399874,0.075
SKT_13,Zn,0.309277139,0.309
SKT_14,Cd,0.005744536,0.006
