Cap	Salt	Cadmium	Timepoint	Plant	TissueType	DryWeight	VolDigestUsed	Sample	Element	ConcSamp	ConcRep	ConcCor
1	1	0	0	1	old leaf	0.10951	0.4	SKT_01	Cd	0.006914733	0.007	0.002065485
2	1	0	0	1	young leaf	0.026	0.5	SKT_02	Cd	0.00611559	0.006	0.001266342
3	1	0	0	1	root	0.0029	0.7	SKT_03	Cd	0.005947642	0.006	0.001098394
4	1	0	0	2	old leaf	0.04946	0.5	SKT_04	Cd	-0.000792065	-0.001	-0.005641313
5	1	0	0	2	young leaf	0.01384	0.7	SKT_05	Cd	0.005612998	0.006	0.00076375
6	1	0	0	2	root	0.00087	0.7	SKT_06	Cd	0.005334704	0.005	0.000485456
7	1	0	0	3	old leaf	0.06652	0.4	SKT_07	Cd	0.005535709	0.006	0.000686461
8	1	0	0	3	young leaf	0.04741	0.5	SKT_08	Cd	0.00551147	0.006	0.000662222
9	1	0	0	3	root	0.00169	0.7	SKT_09	Cd	0.00458236	0.005	-0.000266888
10	1	0	1	1	old leaf	0.06685	0.4	SKT_10	Cd	0.005554372	0.006	0.000705124
11	1	0	1	1	young leaf	0.0075	0.7	SKT_11	Cd	0.006382888	0.006	0.00153364
12	1	0	1	1	root	0.00146	0.7	SKT_12	Cd	0.005083094	0.005	0.000233846
13	1	0	1	2	old leaf	0.01357	0.7	SKT_13	Cd	0.005328441	0.005	0.000479193
14	1	0	1	2	young leaf	0.00244	0.7	SKT_14	Cd	0.004367492	0.004	-0.000481756
15	1	0	1	2	root	0.00086	0.7	SKT_15	Cd	0.00409965	0.004	-0.000749598
16	1	0	1	3	old leaf	0.03447	0.5	SKT_16	Cd	0.004607017	0.005	-0.000242231
17	1	0	1	3	young leaf	0.01089	0.7	SKT_17	Cd	0.00443448	0.004	-0.000414768
18	1	0	1	3	root	0.0102	0.7	SKT_18	Cd	-0.001698616	-0.002	-0.006547864
19	1	0	2	1	old leaf	0.03178	0.5	SKT_19	Cd	-0.002058201	-0.002	-0.006907449
20	1	0	2	1	young leaf	0.00796	0.7	SKT_20	Cd	0.005584718	0.006	0.00073547
21	1	0	2	1	root	0.00145	0.7	SKT_21	Cd	0.005037513	0.005	0.000821135
22	1	0	2	2	old leaf	0.01486	0.7	SKT_22	Cd	-0.004180624	-0.004	-0.008397002
23	1	0	2	2	young leaf	0.00285	0.7	SKT_23	Cd	0.002398255	0.002	-0.001818123
24	1	0	2	2	root	0.00329	0.7	SKT_24	Cd	0.004840934	0.005	0.000624556
25	1	0	2	3	old leaf	0.03215	0.5	SKT_25	Cd	0.003852071	0.004	-0.000364307
26	1	0	2	3	young leaf	0.0097	0.7	SKT_26	Cd	0.005054315	0.005	0.000837937
27	1	0	2	3	root	0.0043	0.7	SKT_27	Cd	0.003550979	0.004	-0.000665399
55	0	1	0	1	old leaf	0.01027	0.7	SKT_28	Cd	0.004755512	0.005	0.000539134
56	0	1	0	1	young leaf	0.01377	0.7	SKT_29	Cd	0.0043047	0.004	8.83E-05
57	0	1	0	1	root	0.00161	0.7	SKT_30	Cd	0.003080202	0.003	-0.001136176
58	0	1	0	2	old leaf	0.04048	0.5	SKT_31	Cd	0.003508198	0.004	-0.00070818
59	0	1	0	2	young leaf	0.02221	0.5	SKT_32	Cd	0.003664725	0.004	-0.000551653
60	0	1	0	2	root	0.00136	0.7	SKT_33	Cd	0.00206329	0.002	-0.002153088
61	0	1	0	3	old leaf	0.06928	0.4	SKT_34	Cd	0.004008337	0.004	-0.000208041
62	0	1	0	3	young leaf	0.02692	0.5	SKT_35	Cd	0.003492672	0.003	-0.000723706
63	0	1	0	3	root	0.00205	0.7	SKT_36	Cd	0.003250841	0.003	-0.000965537
64	0	1	1	1	old leaf	0.0158	0.7	SKT_37	Cd	0.00283986	0.003	-0.001376518
65	0	1	1	1	young leaf	0.0042	0.7	SKT_38	Cd	0.004286565	0.004	7.02E-05
66	0	1	1	1	root	0.00109	0.7	SKT_39	Cd	0.045040915	0.045	0.040824537
67	0	1	1	2	old leaf	0.02225	0.5	SKT_40	Cd	0.00370727	0.004	-0.000509108
68	0	1	1	2	young leaf	0.01885	0.7	SKT_41	Cd	0.003324905	0.003	-0.000891473
69	0	1	1	2	root	0.00414	0.7	SKT_42	Cd	0.324108166	0.324	0.319891788
70	0	1	1	3	old leaf	0.05336	0.5	SKT_43	Cd	0.003677981	0.004	-0.000538397
71	0	1	1	3	young leaf	0.01974	0.7	SKT_44	Cd	0.003796318	0.004	-0.00042006
72	0	1	1	3	root	0.00194	0.7	SKT_45	Cd	0.053303229	0.053	0.049086851
73	0	1	2	1	old leaf	0.01725	0.7	SKT_46	Cd	0.003870498	0.004	-0.00034588
74	0	1	2	1	young leaf	0.01065	0.7	SKT_47	Cd	0.003694247	0.004	-0.000522131
75	0	1	2	1	root	0.0009	0.7	SKT_48	Cd	0.052669724	0.053	0.048453346
76	0	1	2	2	old leaf	0.06388	0.4	SKT_49	Cd	0.003752884	0.004	-0.000463494
77	0	1	2	2	young leaf	0.02182	0.5	SKT_50	Cd	0.002947278	0.003	-0.0012691
78	0	1	2	2	root	0.00432	0.7	SKT_51	Cd	0.845676395	0.846	0.841460017
79	0	1	2	3	old leaf	0.09999	0.4	SKT_52	Cd	0.003927736	0.004	-0.000288642
80	0	1	2	3	young leaf	0.04808	0.5	SKT_53	Cd	0.002992345	0.003	-0.001224033
81	0	1	2	3	root	0.00432	0.7	SKT_54	Cd	0.217554592	0.218	0.213338214
