Cap	Salt	Cadmium	Timepoint	Plant	TissueType	DryWeight	VolDigestUsed	Sample	Element	ConcSamp	ConcRep	ConcCor
1	1	0	0	1	old leaf	0.10951	0.4	SKT_01	Fe	0.197924103	0.198	0.170745855
2	1	0	0	1	young leaf	0.026	0.5	SKT_02	Fe	0.094855086	0.095	0.067676838
3	1	0	0	1	root	0.0029	0.7	SKT_03	Fe	2.048383736	2.048	2.021205488
4	1	0	0	2	old leaf	0.04946	0.5	SKT_04	Fe	0.103601682	0.104	0.076423434
5	1	0	0	2	young leaf	0.01384	0.7	SKT_05	Fe	0.062187006	0.062	0.035008758
6	1	0	0	2	root	0.00087	0.7	SKT_06	Fe	1.103418605	1.103	1.076240357
7	1	0	0	3	old leaf	0.06652	0.4	SKT_07	Fe	0.112276163	0.112	0.085097915
8	1	0	0	3	young leaf	0.04741	0.5	SKT_08	Fe	0.12384937	0.124	0.096671122
9	1	0	0	3	root	0.00169	0.7	SKT_09	Fe	1.323411354	1.323	1.296233106
10	1	0	1	1	old leaf	0.06685	0.4	SKT_10	Fe	0.098948901	0.099	0.071770653
11	1	0	1	1	young leaf	0.0075	0.7	SKT_11	Fe	0.05712658	0.057	0.029948332
12	1	0	1	1	root	0.00146	0.7	SKT_12	Fe	1.307073742	1.307	1.279895494
13	1	0	1	2	old leaf	0.01357	0.7	SKT_13	Fe	0.062631413	0.063	0.035453165
14	1	0	1	2	young leaf	0.00244	0.7	SKT_14	Fe	0.037249279	0.037	0.010071031
15	1	0	1	2	root	0.00086	0.7	SKT_15	Fe	1.813194486	1.813	1.786016238
16	1	0	1	3	old leaf	0.03447	0.5	SKT_16	Fe	0.100243544	0.1	0.073065296
17	1	0	1	3	young leaf	0.01089	0.7	SKT_17	Fe	0.107704707	0.108	0.080526459
18	1	0	1	3	root	0.0102	0.7	SKT_18	Fe	13.74116224	13.74	13.71398399
19	1	0	2	1	old leaf	0.03178	0.5	SKT_19	Fe	0.081497696	0.081	0.054319448
20	1	0	2	1	young leaf	0.00796	0.7	SKT_20	Fe	0.058187901	0.058	0.031009653
21	1	0	2	1	root	0.00145	0.7	SKT_21	Fe	0.902816001	0.903	0.875729375
22	1	0	2	2	old leaf	0.01486	0.7	SKT_22	Fe	0.057550642	0.058	0.030464016
23	1	0	2	2	young leaf	0.00285	0.7	SKT_23	Fe	0.051913398	0.052	0.024826772
24	1	0	2	2	root	0.00329	0.7	SKT_24	Fe	1.51474325	1.515	1.487656624
25	1	0	2	3	old leaf	0.03215	0.5	SKT_25	Fe	0.113021721	0.113	0.085935095
26	1	0	2	3	young leaf	0.0097	0.7	SKT_26	Fe	0.080485604	0.08	0.053398978
27	1	0	2	3	root	0.0043	0.7	SKT_27	Fe	3.574119027	3.574	3.547032401
55	0	1	0	1	old leaf	0.01027	0.7	SKT_28	Fe	0.041221951	0.041	0.014135325
56	0	1	0	1	young leaf	0.01377	0.7	SKT_29	Fe	0.059644906	0.06	0.03255828
57	0	1	0	1	root	0.00161	0.7	SKT_30	Fe	0.672635647	0.673	0.645549021
58	0	1	0	2	old leaf	0.04048	0.5	SKT_31	Fe	0.084951761	0.085	0.057865135
59	0	1	0	2	young leaf	0.02221	0.5	SKT_32	Fe	0.073362769	0.073	0.046276143
60	0	1	0	2	root	0.00136	0.7	SKT_33	Fe	0.905077338	0.905	0.877990712
61	0	1	0	3	old leaf	0.06928	0.4	SKT_34	Fe	0.192922462	0.193	0.165835836
62	0	1	0	3	young leaf	0.02692	0.5	SKT_35	Fe	0.075241436	0.075	0.04815481
63	0	1	0	3	root	0.00205	0.7	SKT_36	Fe	1.48855218	1.489	1.461465554
64	0	1	1	1	old leaf	0.0158	0.7	SKT_37	Fe	0.061473995	0.061	0.034387369
65	0	1	1	1	young leaf	0.0042	0.7	SKT_38	Fe	0.062124589	0.062	0.035037963
66	0	1	1	1	root	0.00109	0.7	SKT_39	Fe	0.370955782	0.371	0.343869156
67	0	1	1	2	old leaf	0.02225	0.5	SKT_40	Fe	0.054648588	0.055	0.027561962
68	0	1	1	2	young leaf	0.01885	0.7	SKT_41	Fe	0.079800313	0.08	0.052713687
69	0	1	1	2	root	0.00414	0.7	SKT_42	Fe	2.275895301	2.276	2.248808675
70	0	1	1	3	old leaf	0.05336	0.5	SKT_43	Fe	0.170412499	0.17	0.143325873
71	0	1	1	3	young leaf	0.01974	0.7	SKT_44	Fe	0.09857259	0.099	0.071485964
72	0	1	1	3	root	0.00194	0.7	SKT_45	Fe	1.4234436	1.423	1.396356974
73	0	1	2	1	old leaf	0.01725	0.7	SKT_46	Fe	0.062565708	0.063	0.035479082
74	0	1	2	1	young leaf	0.01065	0.7	SKT_47	Fe	0.054617434	0.055	0.027530808
75	0	1	2	1	root	0.0009	0.7	SKT_48	Fe	0.823698789	0.824	0.796612163
76	0	1	2	2	old leaf	0.06388	0.4	SKT_49	Fe	0.087569848	0.088	0.060483222
77	0	1	2	2	young leaf	0.02182	0.5	SKT_50	Fe	0.073480882	0.073	0.046394256
78	0	1	2	2	root	0.00432	0.7	SKT_51	Fe	1.057729846	1.058	1.03064322
79	0	1	2	3	old leaf	0.09999	0.4	SKT_52	Fe	0.260014652	0.26	0.232928026
80	0	1	2	3	young leaf	0.04808	0.5	SKT_53	Fe	0.108288181	0.108	0.081201555
81	0	1	2	3	root	0.00432	0.7	SKT_54	Fe	2.838381778	2.838	2.811295152
