Cap	Salt	Cadmium	Timepoint	Plant	TissueType	DryWeight	VolDigestUsed	Sample	Element	ConcSamp	ConcRep	ConcCor
1	1	0	0	1	old leaf	0.10951	0.4	SKT_01	K	87.61030516	87.61	87.53466497
2	1	0	0	1	young leaf	0.026	0.5	SKT_02	K	67.35581419	67.36	67.280174
3	1	0	0	1	root	0.0029	0.7	SKT_03	K	4.983286623	4.983	4.907646434
4	1	0	0	2	old leaf	0.04946	0.5	SKT_04	K	66.60089481	66.6	66.52525462
5	1	0	0	2	young leaf	0.01384	0.7	SKT_05	K	27.23112127	27.23	27.15548108
6	1	0	0	2	root	0.00087	0.7	SKT_06	K	0.277616309	0.278	0.20197612
7	1	0	0	3	old leaf	0.06652	0.4	SKT_07	K	87.46629724	87.47	87.39065705
8	1	0	0	3	young leaf	0.04741	0.5	SKT_08	K	119.4850541	119.5	119.4094139
9	1	0	0	3	root	0.00169	0.7	SKT_09	K	2.796949661	2.797	2.721309472
10	1	0	1	1	old leaf	0.06685	0.4	SKT_10	K	75.21366645	75.21	75.13802626
11	1	0	1	1	young leaf	0.0075	0.7	SKT_11	K	18.7694513	18.77	18.69381111
12	1	0	1	1	root	0.00146	0.7	SKT_12	K	1.65768861	1.658	1.582048421
13	1	0	1	2	old leaf	0.01357	0.7	SKT_13	K	14.46999875	14.47	14.39435856
14	1	0	1	2	young leaf	0.00244	0.7	SKT_14	K	2.962221107	2.962	2.886580918
15	1	0	1	2	root	0.00086	0.7	SKT_15	K	0.279112333	0.279	0.203472144
16	1	0	1	3	old leaf	0.03447	0.5	SKT_16	K	78.21248987	78.21	78.13684968
17	1	0	1	3	young leaf	0.01089	0.7	SKT_17	K	32.06982974	32.07	31.99418955
18	1	0	1	3	root	0.0102	0.7	SKT_18	K	4.035383729	4.035	3.95974354
19	1	0	2	1	old leaf	0.03178	0.5	SKT_19	K	47.06255836	47.06	46.98691817
20	1	0	2	1	young leaf	0.00796	0.7	SKT_20	K	25.573736	25.57	25.49809581
21	1	0	2	1	root	0.00145	0.7	SKT_21	K	0.665214047	0.665	0.562631987
22	1	0	2	2	old leaf	0.01486	0.7	SKT_22	K	19.22581172	19.23	19.12322966
23	1	0	2	2	young leaf	0.00285	0.7	SKT_23	K	4.551212673	4.551	4.448630613
24	1	0	2	2	root	0.00329	0.7	SKT_24	K	0.74272545	0.743	0.64014339
25	1	0	2	3	old leaf	0.03215	0.5	SKT_25	K	72.83250429	72.83	72.72992223
26	1	0	2	3	young leaf	0.0097	0.7	SKT_26	K	30.71442691	30.71	30.61184485
27	1	0	2	3	root	0.0043	0.7	SKT_27	K	1.286258954	1.286	1.183676894
55	0	1	0	1	old leaf	0.01027	0.7	SKT_28	K	13.28787273	13.29	13.18529067
56	0	1	0	1	young leaf	0.01377	0.7	SKT_29	K	26.39100508	26.39	26.28842302
57	0	1	0	1	root	0.00161	0.7	SKT_30	K	0.98226904	0.982	0.87968698
58	0	1	0	2	old leaf	0.04048	0.5	SKT_31	K	40.90189842	40.9	40.79931636
59	0	1	0	2	young leaf	0.02221	0.5	SKT_32	K	20.46364949	20.46	20.36106743
60	0	1	0	2	root	0.00136	0.7	SKT_33	K	0.576018235	0.576	0.473436175
61	0	1	0	3	old leaf	0.06928	0.4	SKT_34	K	51.41162009	51.41	51.30903803
62	0	1	0	3	young leaf	0.02692	0.5	SKT_35	K	31.18197728	31.18	31.07939522
63	0	1	0	3	root	0.00205	0.7	SKT_36	K	0.999891758	1	0.897309698
64	0	1	1	1	old leaf	0.0158	0.7	SKT_37	K	27.68378221	27.68	27.58120015
65	0	1	1	1	young leaf	0.0042	0.7	SKT_38	K	6.404442253	6.404	6.301860193
66	0	1	1	1	root	0.00109	0.7	SKT_39	K	0.534953939	0.535	0.432371879
67	0	1	1	2	old leaf	0.02225	0.5	SKT_40	K	23.40693558	23.41	23.30435352
68	0	1	1	2	young leaf	0.01885	0.7	SKT_41	K	25.30705469	25.31	25.20447263
69	0	1	1	2	root	0.00414	0.7	SKT_42	K	1.170769433	1.171	1.068187373
70	0	1	1	3	old leaf	0.05336	0.5	SKT_43	K	40.03762649	40.04	39.93504443
71	0	1	1	3	young leaf	0.01974	0.7	SKT_44	K	28.38188121	28.38	28.27929915
72	0	1	1	3	root	0.00194	0.7	SKT_45	K	0.718054232	0.718	0.615472172
73	0	1	2	1	old leaf	0.01725	0.7	SKT_46	K	29.64866295	29.65	29.54608089
74	0	1	2	1	young leaf	0.01065	0.7	SKT_47	K	23.89515429	23.9	23.79257223
75	0	1	2	1	root	0.0009	0.7	SKT_48	K	0.271022535	0.271	0.168440475
76	0	1	2	2	old leaf	0.06388	0.4	SKT_49	K	50.94803393	50.95	50.84545187
77	0	1	2	2	young leaf	0.02182	0.5	SKT_50	K	18.7143799	18.71	18.61179784
78	0	1	2	2	root	0.00432	0.7	SKT_51	K	5.142560718	5.143	5.039978658
79	0	1	2	3	old leaf	0.09999	0.4	SKT_52	K	49.60523582	49.61	49.50265376
80	0	1	2	3	young leaf	0.04808	0.5	SKT_53	K	48.06472847	48.06	47.96214641
81	0	1	2	3	root	0.00432	0.7	SKT_54	K	1.410699637	1.411	1.308117577
