Cap	Salt	Cadmium	Timepoint	Plant	TissueType	DryWeight	VolDigestUsed	Sample	Element	ConcSamp	ConcRep	ConcCor
1	1	0	0	1	old leaf	0.10951	0.4	SKT_01	Na	4.588776377	4.589	4.410211617
2	1	0	0	1	young leaf	0.026	0.5	SKT_02	Na	1.132056547	1.132	0.953491787
3	1	0	0	1	root	0.0029	0.7	SKT_03	Na	1.179705789	1.18	1.001141029
4	1	0	0	2	old leaf	0.04946	0.5	SKT_04	Na	3.771481705	3.771	3.592916945
5	1	0	0	2	young leaf	0.01384	0.7	SKT_05	Na	0.956094336	0.956	0.777529576
6	1	0	0	2	root	0.00087	0.7	SKT_06	Na	0.45180555	0.452	0.27324079
7	1	0	0	3	old leaf	0.06652	0.4	SKT_07	Na	3.557089922	3.557	3.378525162
8	1	0	0	3	young leaf	0.04741	0.5	SKT_08	Na	3.238580854	3.239	3.060016094
9	1	0	0	3	root	0.00169	0.7	SKT_09	Na	0.764099893	0.764	0.585535133
10	1	0	1	1	old leaf	0.06685	0.4	SKT_10	Na	13.26297509	13.26	13.08441033
11	1	0	1	1	young leaf	0.0075	0.7	SKT_11	Na	5.23916047	5.239	5.06059571
12	1	0	1	1	root	0.00146	0.7	SKT_12	Na	1.262332758	1.262	1.083767998
13	1	0	1	2	old leaf	0.01357	0.7	SKT_13	Na	0.596761556	0.597	0.418196796
14	1	0	1	2	young leaf	0.00244	0.7	SKT_14	Na	0.241878751	0.242	0.063313991
15	1	0	1	2	root	0.00086	0.7	SKT_15	Na	0.558571153	0.559	0.380006393
16	1	0	1	3	old leaf	0.03447	0.5	SKT_16	Na	11.90311001	11.9	11.72454525
17	1	0	1	3	young leaf	0.01089	0.7	SKT_17	Na	13.33419635	13.33	13.15563159
18	1	0	1	3	root	0.0102	0.7	SKT_18	Na	8.749809205	8.75	8.571244445
19	1	0	2	1	old leaf	0.03178	0.5	SKT_19	Na	9.185194819	9.185	9.006630059
20	1	0	2	1	young leaf	0.00796	0.7	SKT_20	Na	13.6471541	13.65	13.46858934
21	1	0	2	1	root	0.00145	0.7	SKT_21	Na	0.959356943	0.959	0.764346747
22	1	0	2	2	old leaf	0.01486	0.7	SKT_22	Na	0.735566293	0.736	0.540556097
23	1	0	2	2	young leaf	0.00285	0.7	SKT_23	Na	0.291919183	0.292	0.096908987
24	1	0	2	2	root	0.00329	0.7	SKT_24	Na	0.669321409	0.669	0.474311213
25	1	0	2	3	old leaf	0.03215	0.5	SKT_25	Na	16.52363695	16.52	16.32862675
26	1	0	2	3	young leaf	0.0097	0.7	SKT_26	Na	16.0369206	16.04	15.8419104
27	1	0	2	3	root	0.0043	0.7	SKT_27	Na	3.421472877	3.421	3.226462681
55	0	1	0	1	old leaf	0.01027	0.7	SKT_28	Na	0.555720629	0.556	0.360710433
56	0	1	0	1	young leaf	0.01377	0.7	SKT_29	Na	0.63734719	0.637	0.442336994
57	0	1	0	1	root	0.00161	0.7	SKT_30	Na	0.712358899	0.712	0.517348703
58	0	1	0	2	old leaf	0.04048	0.5	SKT_31	Na	1.191356649	1.191	0.996346453
59	0	1	0	2	young leaf	0.02221	0.5	SKT_32	Na	0.597437016	0.597	0.40242682
60	0	1	0	2	root	0.00136	0.7	SKT_33	Na	0.433191241	0.433	0.238181045
61	0	1	0	3	old leaf	0.06928	0.4	SKT_34	Na	1.716459245	1.716	1.521449049
62	0	1	0	3	young leaf	0.02692	0.5	SKT_35	Na	0.653934663	0.654	0.458924467
63	0	1	0	3	root	0.00205	0.7	SKT_36	Na	0.538873359	0.539	0.343863163
64	0	1	1	1	old leaf	0.0158	0.7	SKT_37	Na	0.826495188	0.826	0.631484992
65	0	1	1	1	young leaf	0.0042	0.7	SKT_38	Na	0.282783609	0.283	0.087773413
66	0	1	1	1	root	0.00109	0.7	SKT_39	Na	0.45108528	0.451	0.256075084
67	0	1	1	2	old leaf	0.02225	0.5	SKT_40	Na	0.610580802	0.611	0.415570606
68	0	1	1	2	young leaf	0.01885	0.7	SKT_41	Na	0.8674908	0.867	0.672480604
69	0	1	1	2	root	0.00414	0.7	SKT_42	Na	1.247657996	1.248	1.0526478
70	0	1	1	3	old leaf	0.05336	0.5	SKT_43	Na	1.063975897	1.064	0.868965701
71	0	1	1	3	young leaf	0.01974	0.7	SKT_44	Na	0.919957072	0.92	0.724946876
72	0	1	1	3	root	0.00194	0.7	SKT_45	Na	0.754404876	0.754	0.55939468
73	0	1	2	1	old leaf	0.01725	0.7	SKT_46	Na	0.958329069	0.958	0.763318873
74	0	1	2	1	young leaf	0.01065	0.7	SKT_47	Na	0.693623248	0.694	0.498613052
75	0	1	2	1	root	0.0009	0.7	SKT_48	Na	0.484853832	0.485	0.289843636
76	0	1	2	2	old leaf	0.06388	0.4	SKT_49	Na	1.727399451	1.727	1.532389255
77	0	1	2	2	young leaf	0.02182	0.5	SKT_50	Na	0.716426898	0.716	0.521416702
78	0	1	2	2	root	0.00432	0.7	SKT_51	Na	1.100393274	1.1	0.905383078
79	0	1	2	3	old leaf	0.09999	0.4	SKT_52	Na	2.090389366	2.09	1.89537917
80	0	1	2	3	young leaf	0.04808	0.5	SKT_53	Na	1.686345361	1.686	1.491335165
81	0	1	2	3	root	0.00432	0.7	SKT_54	Na	1.427887272	1.428	1.232877076
