Cap,Salt,Cadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,ConcCor,CorConc,ugElementPermgDW,ugElement
1,1,0,0,1,old leaf,0.10951,0.4,SKT_01,Cd,0.006914733,0.007,0.002065485,0.003384727,4.6361889325175783e-4,0.050770905
2,1,0,0,1,young leaf,0.026,0.5,SKT_02,Cd,0.00611559,0.006,0.001266342,0.0025855839999999997,0.0011933464615384614,0.031027007999999995
3,1,0,0,1,root,0.0029,0.7,SKT_03,Cd,0.005947642,0.006,0.001098394,0.0024176360000000004,0.007145722167487686,0.02072259428571429
4,1,0,0,2,old leaf,0.04946,0.5,SKT_04,Cd,0,0,0,0,0,0
5,1,0,0,2,young leaf,0.01384,0.7,SKT_05,Cd,0.005612998,0.006,7.6375e-4,0.002082992,0.0012900445912469036,0.017854217142857145
6,1,0,0,2,root,8.7e-4,0.7,SKT_06,Cd,0.005334704,0.005,4.85456e-4,0.001804698,0.017780275862068966,0.01546884
7,1,0,0,3,old leaf,0.06652,0.4,SKT_07,Cd,0.005535709,0.006,6.86461e-4,0.0020057029999999997,4.5227818701142514e-4,0.030085544999999998
8,1,0,0,3,young leaf,0.04741,0.5,SKT_08,Cd,0.00551147,0.006,6.62222e-4,0.001981464,5.015306475427124e-4,0.023777568
9,1,0,0,3,root,0.00169,0.7,SKT_09,Cd,0.00458236,0.005,0,0.0010523539999999997,0.005337382924767538,0.00902017714285714
10,1,0,1,1,old leaf,0.06685,0.4,SKT_10,Cd,0.005554372,0.006,7.05124e-4,0.002024366,4.5423320867614056e-4,0.030365490000000002
11,1,0,1,1,young leaf,0.0075,0.7,SKT_11,Cd,0.006382888,0.006,0.00153364,0.0028528819999999997,0.0032604365714285714,0.024453274285714286
12,1,0,1,1,root,0.00146,0.7,SKT_12,Cd,0.005083094,0.005,2.33846e-4,0.0015530879999999998,0.009117933463796479,0.013312182857142857
13,1,0,1,2,old leaf,0.01357,0.7,SKT_13,Cd,0.005328441,0.005,4.79193e-4,0.0017984349999999997,0.001135973260343194,0.015415157142857143
14,1,0,1,2,young leaf,0.00244,0.7,SKT_14,Cd,0.004367492,0.004,0,8.374859999999997e-4,0.0029419882903981257,0.007178451428571426
15,1,0,1,2,root,8.6e-4,0.7,SKT_15,Cd,0.00409965,0.004,0,5.696439999999998e-4,0.0056775149501661105,0.004882662857142855
16,1,0,1,3,old leaf,0.03447,0.5,SKT_16,Cd,0.004607017,0.005,0,0.0010770109999999997,3.749385552654481e-4,0.012924131999999996
17,1,0,1,3,young leaf,0.01089,0.7,SKT_17,Cd,0.00443448,0.004,0,9.044740000000002e-4,7.119039748130658e-4,0.007752634285714288
18,1,0,1,3,root,0.0102,0.7,SKT_18,Cd,0,0,0,0,0,0
19,1,0,2,1,old leaf,0.03178,0.5,SKT_19,Cd,0,0,0,0,0,0
20,1,0,2,1,young leaf,0.00796,0.7,SKT_20,Cd,0.005584718,0.006,7.3547e-4,0.0020547119999999998,0.00221253984206748,0.01761181714285714
21,1,0,2,1,root,0.00145,0.7,SKT_21,Cd,0.005037513,0.005,8.21135e-4,0.0015075070000000004,0.008911371428571433,0.012921488571428576
22,1,0,2,2,old leaf,0.01486,0.7,SKT_22,Cd,0,0,0,0,0,0
23,1,0,2,2,young leaf,0.00285,0.7,SKT_23,Cd,0.002398255,0.002,0,0,0,0
24,1,0,2,2,root,0.00329,0.7,SKT_24,Cd,0.004840934,0.005,6.24556e-4,0.0013109279999999998,0.003415357359965263,0.011236525714285715
25,1,0,2,3,old leaf,0.03215,0.5,SKT_25,Cd,0.003852071,0.004,0,3.2206499999999985e-4,1.2021088646967336e-4,0.0038647799999999982
26,1,0,2,3,young leaf,0.0097,0.7,SKT_26,Cd,0.005054315,0.005,8.37937e-4,0.0015243090000000002,0.001346959351988218,0.013065505714285717
27,1,0,2,3,root,0.0043,0.7,SKT_27,Cd,0.003550979,0.004,0,2.0973000000000085e-5,4.18066445182726e-5,1.7976857142857218e-4
55,0,1,0,1,old leaf,0.01027,0.7,SKT_28,Cd,0.004755512,0.005,5.39134e-4,0.001225506,0.0010228176380581446,0.010504337142857144
56,0,1,0,1,young leaf,0.01377,0.7,SKT_29,Cd,0.0043047,0.004,8.83e-5,7.746939999999998e-4,4.82224712107065e-4,0.006640234285714285
57,0,1,0,1,root,0.00161,0.7,SKT_30,Cd,0.003080202,0.003,0,0,0,0
58,0,1,0,2,old leaf,0.04048,0.5,SKT_31,Cd,0.003508198,0.004,0,0,0,0
59,0,1,0,2,young leaf,0.02221,0.5,SKT_32,Cd,0.003664725,0.004,0,1.3471900000000016e-4,7.278829356145888e-5,0.001616628000000002
60,0,1,0,2,root,0.00136,0.7,SKT_33,Cd,0.00206329,0.002,0,0,0,0
61,0,1,0,3,old leaf,0.06928,0.4,SKT_34,Cd,0.004008337,0.004,0,4.783309999999998e-4,1.0356473729792143e-4,0.007174964999999997
62,0,1,0,3,young leaf,0.02692,0.5,SKT_35,Cd,0.003492672,0.003,0,0,0,0
63,0,1,0,3,root,0.00205,0.7,SKT_36,Cd,0.003250841,0.003,0,0,0,0
64,0,1,1,1,old leaf,0.0158,0.7,SKT_37,Cd,0.00283986,0.003,0,0,0,0
65,0,1,1,1,young leaf,0.0042,0.7,SKT_38,Cd,0.004286565,0.004,7.02e-5,7.56559e-4,0.0015439979591836733,0.0064847914285714285
66,0,1,1,1,root,0.00109,0.7,SKT_39,Cd,0.045040915,0.045,0.040824537,0.041510909,0.32642916644823067,0.35580779142857144
67,0,1,1,2,old leaf,0.02225,0.5,SKT_40,Cd,0.00370727,0.004,0,1.772639999999999e-4,9.560305617977523e-5,0.0021271679999999987
