Sample_ID	Elem	Conc_Samp	Reported_Conc_Samp
C1	Cd	0.004849248	0
C1	K	0.075640189	0.079
C1	Na	0.17856476	0.205
C1	Fe	0.027178248	0.032
C1	Zn	0.006925294	0.008
SKT_01	Cd	0.006914733	0.007
SKT_01	K	87.61030516	87.61
SKT_01	Na	4.588776377	4.589
SKT_01	Fe	0.197924103	0.198
SKT_01	Zn	0.297609267	0.298
SKT_02	Cd	0.00611559	0.006
SKT_02	K	67.35581419	67.36
SKT_02	Na	1.132056547	1.132
SKT_02	Fe	0.094855086	0.095
SKT_02	Zn	0.200093789	0.2
SKT_03	Cd	0.005947642	0.006
SKT_03	K	4.983286623	4.983
SKT_03	Na	1.179705789	1.18
SKT_03	Fe	2.048383736	2.048
SKT_03	Zn	0.136130906	0.136
SKT_04	Cd	-0.000792065	-0.001
SKT_04	K	66.60089481	66.6
SKT_04	Na	3.771481705	3.771
SKT_04	Fe	0.103601682	0.104
SKT_04	Zn	0.138089845	0.138
SKT_05	Cd	0.005612998	0.006
SKT_05	K	27.23112127	27.23
SKT_05	Na	0.956094336	0.956
SKT_05	Fe	0.062187006	0.062
SKT_05	Zn	0.112295583	0.112
SKT_06	Cd	0.005334704	0.005
SKT_06	K	0.277616309	0.278
SKT_06	Na	0.45180555	0.452
SKT_06	Fe	1.103418605	1.103
SKT_06	Zn	0.04412155	0.044
SKT_07	Cd	0.005535709	0.006
SKT_07	K	87.46629724	87.47
SKT_07	Na	3.557089922	3.557
SKT_07	Fe	0.112276163	0.112
SKT_07	Zn	0.724667963	0.725
SKT_08	Cd	0.00551147	0.006
SKT_08	K	119.4850541	119.5
SKT_08	Na	3.238580854	3.239
SKT_08	Fe	0.12384937	0.124
SKT_08	Zn	0.280237571	0.28
SKT_09	Cd	0.00458236	0.005
SKT_09	K	2.796949661	2.797
SKT_09	Na	0.764099893	0.764
SKT_09	Fe	1.323411354	1.323
SKT_09	Zn	0.068471232	0.068
SKT_10	Cd	0.005554372	0.006
SKT_10	K	75.21366645	75.21
SKT_10	Na	13.26297509	13.26
SKT_10	Fe	0.098948901	0.099
SKT_10	Zn	0.383007737	0.383
SKT_11	Cd	0.006382888	0.006
SKT_11	K	18.7694513	18.77
SKT_11	Na	5.23916047	5.239
SKT_11	Fe	0.05712658	0.057
SKT_11	Zn	0.068648636	0.069
SKT_12	Cd	0.005083094	0.005
SKT_12	K	1.65768861	1.658
SKT_12	Na	1.262332758	1.262
SKT_12	Fe	1.307073742	1.307
SKT_12	Zn	0.080512551	0.081
SKT_13	Cd	0.005328441	0.005
SKT_13	K	14.46999875	14.47
SKT_13	Na	0.596761556	0.597
SKT_13	Fe	0.062631413	0.063
SKT_13	Zn	0.083206109	0.083
SKT_14	Cd	0.004367492	0.004
SKT_14	K	2.962221107	2.962
SKT_14	Na	0.241878751	0.242
SKT_14	Fe	0.037249279	0.037
SKT_14	Zn	0.022515297	0.023
SKT_15	Cd	0.00409965	0.004
SKT_15	K	0.279112333	0.279
SKT_15	Na	0.558571153	0.559
SKT_15	Fe	1.813194486	1.813
SKT_15	Zn	0.03368383	0.034
SKT_16	Cd	0.004607017	0.005
SKT_16	K	78.21248987	78.21
SKT_16	Na	11.90311001	11.9
SKT_16	Fe	0.100243544	0.1
SKT_16	Zn	0.242391536	0.242
SKT_17	Cd	0.00443448	0.004
SKT_17	K	32.06982974	32.07
SKT_17	Na	13.33419635	13.33
SKT_17	Fe	0.107704707	0.108
SKT_17	Zn	0.096175068	0.096
SKT_18	Cd	-0.001698616	-0.002
SKT_18	K	4.035383729	4.035
SKT_18	Na	8.749809205	8.75
SKT_18	Fe	13.74116224	13.74
SKT_18	Zn	0.606311025	0.606
SKT_19	Cd	-0.002058201	-0.002
SKT_19	K	47.06255836	47.06
SKT_19	Na	9.185194819	9.185
SKT_19	Fe	0.081497696	0.081
SKT_19	Zn	0.15827765	0.158
SKT_20	Cd	0.005584718	0.006
SKT_20	K	25.573736	25.57
SKT_20	Na	13.6471541	13.65
SKT_20	Fe	0.058187901	0.058
SKT_20	Zn	0.076230307	0.076
C1b	Cd	0.004216378	0.004
C1b	K	0.10258206	0.109
C1b	Na	0.195010196	0.217
C1b	Fe	0.027086626	0.031
C1b	Zn	0.007241713	0.008
SKT_21	Cd	0.005037513	0.005
SKT_21	K	0.665214047	0.665
SKT_21	Na	0.959356943	0.959
SKT_21	Fe	0.902816001	0.903
SKT_21	Zn	0.094165964	0.094
SKT_22	Cd	-0.004180624	-0.004
SKT_22	K	19.22581172	19.23
SKT_22	Na	0.735566293	0.736
SKT_22	Fe	0.057550642	0.058
SKT_22	Zn	0.071430113	0.071
SKT_23	Cd	0.002398255	0.002
SKT_23	K	4.551212673	4.551
SKT_23	Na	0.291919183	0.292
SKT_23	Fe	0.051913398	0.052
SKT_23	Zn	0.041800083	0.042
SKT_24	Cd	0.004840934	0.005
SKT_24	K	0.74272545	0.743
SKT_24	Na	0.669321409	0.669
SKT_24	Fe	1.51474325	1.515
SKT_24	Zn	0.030472751	0.03
SKT_25	Cd	0.003852071	0.004
SKT_25	K	72.83250429	72.83
SKT_25	Na	16.52363695	16.52
SKT_25	Fe	0.113021721	0.113
SKT_25	Zn	0.233223797	0.233
SKT_26	Cd	0.005054315	0.005
SKT_26	K	30.71442691	30.71
SKT_26	Na	16.0369206	16.04
SKT_26	Fe	0.080485604	0.08
SKT_26	Zn	0.097068791	0.097
SKT_27	Cd	0.003550979	0.004
SKT_27	K	1.286258954	1.286
SKT_27	Na	3.421472877	3.421
SKT_27	Fe	3.574119027	3.574
SKT_27	Zn	0.122790783	0.123
SKT_28	Cd	0.004755512	0.005
SKT_28	K	13.28787273	13.29
SKT_28	Na	0.555720629	0.556
SKT_28	Fe	0.041221951	0.041
SKT_28	Zn	0.02410635	0.024
SKT_29	Cd	0.0043047	0.004
SKT_29	K	26.39100508	26.39
SKT_29	Na	0.63734719	0.637
SKT_29	Fe	0.059644906	0.06
SKT_29	Zn	0.069379632	0.069
SKT_30	Cd	0.003080202	0.003
SKT_30	K	0.98226904	0.982
SKT_30	Na	0.712358899	0.712
SKT_30	Fe	0.672635647	0.673
SKT_30	Zn	0.060709961	0.061
SKT_31	Cd	0.003508198	0.004
SKT_31	K	40.90189842	40.9
SKT_31	Na	1.191356649	1.191
SKT_31	Fe	0.084951761	0.085
SKT_31	Zn	0.249736526	0.25
SKT_32	Cd	0.003664725	0.004
SKT_32	K	20.46364949	20.46
SKT_32	Na	0.597437016	0.597
SKT_32	Fe	0.073362769	0.073
SKT_32	Zn	0.083353924	0.083
SKT_33	Cd	0.00206329	0.002
SKT_33	K	0.576018235	0.576
SKT_33	Na	0.433191241	0.433
SKT_33	Fe	0.905077338	0.905
SKT_33	Zn	0.195811935	0.196
SKT_34	Cd	0.004008337	0.004
SKT_34	K	51.41162009	51.41
SKT_34	Na	1.716459245	1.716
SKT_34	Fe	0.192922462	0.193
SKT_34	Zn	0.353550206	0.354
SKT_35	Cd	0.003492672	0.003
SKT_35	K	31.18197728	31.18
SKT_35	Na	0.653934663	0.654
SKT_35	Fe	0.075241436	0.075
SKT_35	Zn	0.086734984	0.087
SKT_36	Cd	0.003250841	0.003
SKT_36	K	0.999891758	1
SKT_36	Na	0.538873359	0.539
SKT_36	Fe	1.48855218	1.489
SKT_36	Zn	0.068435018	0.068
SKT_37	Cd	0.00283986	0.003
SKT_37	K	27.68378221	27.68
SKT_37	Na	0.826495188	0.826
SKT_37	Fe	0.061473995	0.061
SKT_37	Zn	0.054405813	0.054
SKT_38	Cd	0.004286565	0.004
SKT_38	K	6.404442253	6.404
SKT_38	Na	0.282783609	0.283
SKT_38	Fe	0.062124589	0.062
SKT_38	Zn	0.024194308	0.024
SKT_39	Cd	0.045040915	0.045
SKT_39	K	0.534953939	0.535
SKT_39	Na	0.45108528	0.451
