Sample ID,Samp Number,Sample Units,Analyte Name,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
Calib Blank 1,0, ,Cd 228.802,Cd,228.801,-942.1378535,3.719526007,35.04306249, , ,[0.00], ,0,0, ,mg/L,mg/L,1,3/31/2022,9:43:21 AM,2,3/31/2022,9:43:30 AM,3,3/31/2022,9:43:38 AM
Calib Blank 1,0, ,K 766.490,K,766.493,20458.66807,0.670826003,137.2420653, , ,[0.00], ,0,0, ,mg/L,mg/L,1,3/31/2022,9:43:51 AM,2,3/31/2022,9:43:57 AM,3,3/31/2022,9:44:01 AM
Calib Blank 1,0, ,Na 589.592,Na,589.595,70675.41042,0.4406426303,311.4259875, , ,[0.00], ,0,0, ,mg/L,mg/L,1,3/31/2022,9:44:09 AM,2,3/31/2022,9:44:14 AM,3,3/31/2022,9:44:17 AM
Calib Blank 1,0, ,Fe 238.204,Fe,238.204,-1160.21522,9.02105382,104.6636394, , ,[0.00], ,0,0, ,mg/L,mg/L,1,3/31/2022,9:44:26 AM,2,3/31/2022,9:44:37 AM,3,3/31/2022,9:44:47 AM
Calib Blank 1,0, ,Zn 206.200,Zn,206.201,97.57206984,28.12841558,27.4454773, , ,[0.00], ,0,0, ,mg/L,mg/L,1,3/31/2022,9:44:58 AM,2,3/31/2022,9:45:10 AM,3,3/31/2022,9:45:19 AM
1,0, ,Cd 228.802,Cd,228.801,3468.418707,7.730665923,268.1318631, , ,[0.01], ,1.64636127e-006,1.64636127e-010, ,mg/L,mg/L,1,3/31/2022,9:47:42 AM,2,3/31/2022,9:47:50 AM,3,3/31/2022,9:47:58 AM
1,0, ,Fe 238.204,Fe,238.204,1586.664189,6.765685002,107.3487011, , ,[0.01], ,1.64636127e-006,1.64636127e-010, ,mg/L,mg/L,1,3/31/2022,9:48:07 AM,2,3/31/2022,9:48:18 AM,3,3/31/2022,9:48:28 AM
1,0, ,Zn 206.200,Zn,206.201,903.1191783,2.460628212,22.22240529, , ,[0.01], ,1.64636127e-006,1.64636127e-010, ,mg/L,mg/L,1,3/31/2022,9:48:39 AM,2,3/31/2022,9:48:50 AM,3,3/31/2022,9:48:59 AM
2,0, ,Cd 228.802,Cd,228.801,18086.98349,0.5488320002,99.26715325, , ,[0.05], ,1.317089016e-006,6.58544508e-010, ,mg/L,mg/L,1,3/31/2022,9:51:21 AM,2,3/31/2022,9:51:28 AM,3,3/31/2022,9:51:35 AM
2,0, ,K 766.490,K,766.493,26821.51291,1.220853385,327.4513482, , ,[0.05], ,1.317089016e-006,6.58544508e-010, ,mg/L,mg/L,1,3/31/2022,9:51:48 AM,2,3/31/2022,9:51:53 AM,3,3/31/2022,9:51:57 AM
2,0, ,Na 589.592,Na,589.595,114975.6488,1.057785156,1216.195346, , ,[0.05], ,1.317089016e-006,6.58544508e-010, ,mg/L,mg/L,1,3/31/2022,9:52:05 AM,2,3/31/2022,9:52:09 AM,3,3/31/2022,9:52:13 AM
2,0, ,Fe 238.204,Fe,238.204,15918.09037,0.7249693102,115.4012699, , ,[0.05], ,1.317089016e-006,6.58544508e-010, ,mg/L,mg/L,1,3/31/2022,9:52:21 AM,2,3/31/2022,9:52:31 AM,3,3/31/2022,9:52:40 AM
2,0, ,Zn 206.200,Zn,206.201,4631.891095,0.5479439159,25.38016544, , ,[0.05], ,1.317089016e-006,6.58544508e-010, ,mg/L,mg/L,1,3/31/2022,9:52:50 AM,2,3/31/2022,9:52:58 AM,3,3/31/2022,9:53:06 AM
3,0, ,Cd 228.802,Cd,228.801,34324.61042,0.8096597254,277.9125465, , ,[0.1], ,1.317089016e-006,1.317089016e-009, ,mg/L,mg/L,1,3/31/2022,9:55:26 AM,2,3/31/2022,9:55:34 AM,3,3/31/2022,9:55:41 AM
3,0, ,K 766.490,K,766.493,56698.28708,1.106494763,627.3635774, , ,[0.1], ,1.317089016e-006,1.317089016e-009, ,mg/L,mg/L,1,3/31/2022,9:55:54 AM,2,3/31/2022,9:55:59 AM,3,3/31/2022,9:56:03 AM
3,0, ,Na 589.592,Na,589.595,239205.0499,0.7292200588,1744.331206, , ,[0.1], ,1.317089016e-006,1.317089016e-009, ,mg/L,mg/L,1,3/31/2022,9:56:11 AM,2,3/31/2022,9:56:14 AM,3,3/31/2022,9:56:18 AM
3,0, ,Fe 238.204,Fe,238.204,35538.01162,0.2559913062,90.97422014, , ,[0.1], ,1.317089016e-006,1.317089016e-009, ,mg/L,mg/L,1,3/31/2022,9:56:25 AM,2,3/31/2022,9:56:33 AM,3,3/31/2022,9:56:40 AM
3,0, ,Zn 206.200,Zn,206.201,9572.683325,0.296001083,28.33524631, , ,[0.1], ,1.317089016e-006,1.317089016e-009, ,mg/L,mg/L,1,3/31/2022,9:56:49 AM,2,3/31/2022,9:56:58 AM,3,3/31/2022,9:57:07 AM
4,0, ,Cd 228.802,Cd,228.801,167224.1843,4.105389819,6865.204638, , ,[0.5], ,0,0, ,mg/L,mg/L,1,3/31/2022,9:59:29 AM,2,3/31/2022,9:59:36 AM,3,3/31/2022,9:59:41 AM
4,0, ,K 766.490,K,766.493,343557.5373,1.110891444,3816.551286, , ,[0.5], ,0,0, ,mg/L,mg/L,1,3/31/2022,9:59:53 AM,2,3/31/2022,9:59:55 AM,3,3/31/2022,9:59:58 AM
4,0, ,Na 589.592,Na,589.595,1328479.614,0.5074578792,6741.474473, , ,[0.5], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:00:06 AM,2,3/31/2022,10:00:09 AM,3,3/31/2022,10:00:11 AM
4,0, ,Fe 238.204,Fe,238.204,251088.2442,0.7353068508,1846.269061, , ,[0.5], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:00:18 AM,2,3/31/2022,10:00:24 AM,3,3/31/2022,10:00:28 AM
4,0, ,Zn 206.200,Zn,206.201,50604.41892,0.3704237823,187.4508026, , ,[0.5], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:00:34 AM,2,3/31/2022,10:00:42 AM,3,3/31/2022,10:00:49 AM
5,0, ,Cd 228.802,Cd,228.801,337906.0273,4.477734061,15130.53328, , ,[1], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:03:09 AM,2,3/31/2022,10:03:13 AM,3,3/31/2022,10:03:17 AM
5,0, ,K 766.490,K,766.493,787534.2228,0.84110938,6624.024219, , ,[1], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:03:26 AM,2,3/31/2022,10:03:29 AM,3,3/31/2022,10:03:31 AM
5,0, ,Na 589.592,Na,589.595,3049673.426,0.20021718,6105.970133, , ,[1], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:03:37 AM,2,3/31/2022,10:03:41 AM,3,3/31/2022,10:03:44 AM
5,0, ,Fe 238.204,Fe,238.204,533194.7497,0.8578770746,4574.155521, , ,[1], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:03:51 AM,2,3/31/2022,10:03:54 AM,3,3/31/2022,10:03:57 AM
5,0, ,Zn 206.200,Zn,206.201,104058.3744,0.3837743907,399.3493921, , ,[1], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:04:01 AM,2,3/31/2022,10:04:08 AM,3,3/31/2022,10:04:15 AM
6,0, ,K 766.490,K,766.493,4737517.87,4.061230308,192401.5116, , ,[5], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:06:38 AM,2,3/31/2022,10:06:40 AM,3,3/31/2022,10:06:43 AM
6,0, ,Na 589.592,Na,589.595,19953087.47,0.565179563,112770.7726, , ,[5], ,0,0, ,mg/L,mg/L,1,3/31/2022,10:06:49 AM,2,3/31/2022,10:06:54 AM,3,3/31/2022,10:07:00 AM
C1,1, ,Cd 228.802,Cd,228.801,367.0251179,19.41182879,71.24628751,0.0002551080565,0.0002551080565,0.000,0.000,82.88631713,0.0002114496727,0.0002114496727,mg/L,mg/L,1,3/31/2022,10:12:56 AM,2,3/31/2022,10:13:04 AM,3,3/31/2022,10:13:12 AM
C1,1, ,K 766.490,K,766.493,7735.169038,5.899726271,456.3537998,0.07852484638,0.07852484638,0.079,0.079,0.6080363685,0.0004774596243,0.0004774596243,mg/L,mg/L,1,3/31/2022,10:13:25 AM,2,3/31/2022,10:13:31 AM,3,3/31/2022,10:13:35 AM
C1,1, ,Na 589.592,Na,589.595,473004.3772,0.3048168421,1441.797005,0.2049707643,0.2049707643,0.205,0.205,0.1745122351,0.0003576990621,0.0003576990621,mg/L,mg/L,1,3/31/2022,10:13:43 AM,2,3/31/2022,10:13:47 AM,3,3/31/2022,10:13:49 AM
C1,1, ,Fe 238.204,Fe,238.204,8245.631184,9.758295366,804.6330458,0.03217480277,0.03217480277,0.032,0.032,4.656429224,0.001498196919,0.001498196919,mg/L,mg/L,1,3/31/2022,10:13:55 AM,2,3/31/2022,10:14:06 AM,3,3/31/2022,10:14:15 AM
C1,1, ,Zn 206.200,Zn,206.201,309.6639005,4.628403568,14.33249502,0.007711248065,0.007711248065,0.008,0.008,1.786263966,0.0001377432455,0.0001377432455,mg/L,mg/L,1,3/31/2022,10:14:25 AM,2,3/31/2022,10:14:35 AM,3,3/31/2022,10:14:46 AM
