Sample ID,Samp Number,Sample Units,Analyte Name,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
C1,1, ,Cd 228.802,Cd,228.801,367.0251179,19.41182879,71.24628751,0.000255108,0.000255108,0,0,82.88631713,0.00021145,0.00021145,mg/L,mg/L,1,3/31/22,10:12:56 AM,2,3/31/22,10:13:04 AM,3,3/31/22,10:13:12 AM
C2,2, ,Cd 228.802,Cd,228.801,2791.409871,0.577604143,16.12329907,0.007450365,0.007450365,0.007,0.007,0.642275157,4.79E-05,4.79E-05,mg/L,mg/L,1,3/31/22,10:17:08 AM,2,3/31/22,10:17:16 AM,3,3/31/22,10:17:26 AM
C3,3, ,Cd 228.802,Cd,228.801,2586.517635,0.68091197,17.61190817,0.006842272,0.006842272,0.007,0.007,0.76392525,5.23E-05,5.23E-05,mg/L,mg/L,1,3/31/22,10:21:16 AM,2,3/31/22,10:21:24 AM,3,3/31/22,10:21:32 AM
C1b,24, ,Cd 228.802,Cd,228.801,1762.106859,2.361965484,41.62035581,0.004395528,0.004395528,0.004,0.004,2.810214545,0.000123524,0.000123524,mg/L,mg/L,1,3/31/22,11:56:43 AM,2,3/31/22,11:56:51 AM,3,3/31/22,11:56:58 AM
C2b,25, ,Cd 228.802,Cd,228.801,1636.320171,2.918438934,47.75500495,0.00402221,0.00402221,0.004,0.004,3.523700095,0.000141731,0.000141731,mg/L,mg/L,1,3/31/22,12:00:46 PM,2,3/31/22,12:00:54 PM,3,3/31/22,12:01:01 PM
C3b,26, ,Cd 228.802,Cd,228.801,1706.803302,2.185774369,37.30686911,0.004231395,0.004231395,0.004,0.004,2.616676584,0.000110722,0.000110722,mg/L,mg/L,1,3/31/22,12:04:45 PM,2,3/31/22,12:04:53 PM,3,3/31/22,12:05:00 PM
C1c,61, ,Cd 228.802,Cd,228.801,1368.749235,3.122017382,42.73258902,0.003228094,0.003228094,0.003,0.003,3.928780483,0.000126825,0.000126825,mg/L,mg/L,1,3/31/22,2:25:02 PM,2,3/31/22,2:25:11 PM,3,3/31/22,2:25:19 PM
C2c,62, ,Cd 228.802,Cd,228.801,1274.657829,3.459571282,44.09769618,0.002948843,0.002948843,0.003,0.003,4.43822153,0.000130876,0.000130876,mg/L,mg/L,1,3/31/22,2:28:59 PM,2,3/31/22,2:29:08 PM,3,3/31/22,2:29:16 PM
C3c,63, ,Cd 228.802,Cd,228.801,-259.3062997,15.39857265,39.92946893,-0.001603762,-0.001603762,-0.002,-0.002,7.389217646,0.000118505,0.000118505,mg/L,mg/L,1,3/31/22,2:33:02 PM,2,3/31/22,2:33:10 PM,3,3/31/22,2:33:18 PM
,,,,,,,,,Cd CALIB AVG,0.003530006,,,,,,,,,,,,,,,,
C1,1, ,Fe 238.204,Fe,238.204,8245.631184,9.758295366,804.6330458,0.032174803,0.032174803,0.032,0.032,4.656429224,0.001498197,0.001498197,mg/L,mg/L,1,3/31/22,10:13:55 AM,2,3/31/22,10:14:06 AM,3,3/31/22,10:14:15 AM
C2,2, ,Fe 238.204,Fe,238.204,5530.066662,2.956170443,163.4781961,0.027118522,0.027118522,0.027,0.027,1.122444437,0.00030439,0.00030439,mg/L,mg/L,1,3/31/22,10:18:10 AM,2,3/31/22,10:18:19 AM,3,3/31/22,10:18:26 AM
C3,3, ,Fe 238.204,Fe,238.204,2910.733243,6.051317547,176.1377115,0.02224142,0.02224142,0.022,0.022,1.474554619,0.000327962,0.000327962,mg/L,mg/L,1,3/31/22,10:22:16 AM,2,3/31/22,10:22:25 AM,3,3/31/22,10:22:33 AM
C1b,24, ,Fe 238.204,Fe,238.204,7378.066297,1.243732817,91.76343177,0.030559429,0.030559429,0.031,0.031,0.559107664,0.00017086,0.00017086,mg/L,mg/L,1,3/31/22,11:57:41 AM,2,3/31/22,11:57:51 AM,3,3/31/22,11:57:58 AM
C2b,25, ,Fe 238.204,Fe,238.204,5721.718083,3.130353142,179.1099818,0.02747537,0.02747537,0.027,0.027,1.213800392,0.000333496,0.000333496,mg/L,mg/L,1,3/31/22,12:01:44 PM,2,3/31/22,12:01:52 PM,3,3/31/22,12:01:59 PM
C3b,26, ,Fe 238.204,Fe,238.204,3439.024513,2.780851099,95.63415097,0.023225079,0.023225079,0.023,0.023,0.766702425,0.000178067,0.000178067,mg/L,mg/L,1,3/31/22,12:05:42 PM,2,3/31/22,12:05:50 PM,3,3/31/22,12:05:57 PM
C1c,61, ,Fe 238.204,Fe,238.204,7586.368561,2.055887593,155.96721,0.03094728,0.03094728,0.031,0.031,0.938386716,0.000290405,0.000290405,mg/L,mg/L,1,3/31/22,2:26:00 PM,2,3/31/22,2:26:09 PM,3,3/31/22,2:26:16 PM
C2c,62, ,Fe 238.204,Fe,238.204,5429.337244,1.458859007,79.20637539,0.026930968,0.026930968,0.027,0.027,0.54761989,0.000147479,0.000147479,mg/L,mg/L,1,3/31/22,2:29:57 PM,2,3/31/22,2:30:06 PM,3,3/31/22,2:30:14 PM
C3c,63, ,Fe 238.204,Fe,238.204,3198.212198,2.80060822,89.5693937,0.022776696,0.022776696,0.023,0.023,0.732217242,0.000166775,0.000166775,mg/L,mg/L,1,3/31/22,2:34:00 PM,2,3/31/22,2:34:08 PM,3,3/31/22,2:34:15 PM
,,,,,,,,,Fe CALIB AVG,0.027049952,,,,,,,,,,,,,,,,
C1,1, ,K 766.490,K,766.493,7735.169038,5.899726271,456.3537998,0.078524846,0.078524846,0.079,0.079,0.608036369,0.00047746,0.00047746,mg/L,mg/L,1,3/31/22,10:13:25 AM,2,3/31/22,10:13:31 AM,3,3/31/22,10:13:35 AM
C2,2, ,K 766.490,K,766.493,4358.712208,3.564271672,155.3563445,0.074992232,0.074992232,0.075,0.075,0.216744304,0.000162541,0.000162541,mg/L,mg/L,1,3/31/22,10:17:40 AM,2,3/31/22,10:17:45 AM,3,3/31/22,10:17:49 AM
C3,3, ,K 766.490,K,766.493,2840.197408,5.057345914,143.6386075,0.073403488,0.073403488,0.073,0.073,0.204733763,0.000150282,0.000150282,mg/L,mg/L,1,3/31/22,10:21:46 AM,2,3/31/22,10:21:50 AM,3,3/31/22,10:21:55 AM
C1b,24, ,K 766.490,K,766.493,37044.17655,1.075104084,398.2634548,0.109189361,0.109189361,0.109,0.109,0.381614716,0.000416683,0.000416683,mg/L,mg/L,1,3/31/22,11:57:11 AM,2,3/31/22,11:57:16 AM,3,3/31/22,11:57:20 AM
C2b,25, ,K 766.490,K,766.493,29723.29197,0.803612087,238.8599669,0.101529894,0.101529894,0.102,0.102,0.246141258,0.000249907,0.000249907,mg/L,mg/L,1,3/31/22,12:01:14 PM,2,3/31/22,12:01:19 PM,3,3/31/22,12:01:23 PM
C3b,26, ,K 766.490,K,766.493,25419.37345,0.750442589,190.7578041,0.097026924,0.097026924,0.097,0.097,0.205695614,0.00019958,0.00019958,mg/L,mg/L,1,3/31/22,12:05:13 PM,2,3/31/22,12:05:18 PM,3,3/31/22,12:05:22 PM
C1c,61, ,K 766.490,K,766.493,32124.46905,0.674241022,216.5963484,0.104042123,0.104042123,0.104,0.104,0.217809545,0.000226614,0.000226614,mg/L,mg/L,1,3/31/22,2:25:32 PM,2,3/31/22,2:25:37 PM,3,3/31/22,2:25:41 PM
C2c,62, ,K 766.490,K,766.493,28400.77071,0.493056979,140.0319819,0.100146208,0.100146208,0.1,0.1,0.146294402,0.000146508,0.000146508,mg/L,mg/L,1,3/31/22,2:29:29 PM,2,3/31/22,2:29:34 PM,3,3/31/22,2:29:38 PM
C3c,63, ,K 766.490,K,766.493,25849.73697,1.402739442,362.6044561,0.097477192,0.097477192,0.097,0.097,0.38919308,0.000379374,0.000379374,mg/L,mg/L,1,3/31/22,2:33:32 PM,2,3/31/22,2:33:37 PM,3,3/31/22,2:33:41 PM
,,,,,,,,,K CALIB AVG,0.092925808,,,,,,,,,,,,,,,,
C1,1, ,Na 589.592,Na,589.595,473004.3772,0.304816842,1441.797005,0.204970764,0.204970764,0.205,0.205,0.174512235,0.000357699,0.000357699,mg/L,mg/L,1,3/31/22,10:13:43 AM,2,3/31/22,10:13:47 AM,3,3/31/22,10:13:49 AM
C2,2, ,Na 589.592,Na,589.595,338601.9725,0.953047059,3227.03614,0.171626532,0.171626532,0.172,0.172,0.46648006,0.000800604,0.000800604,mg/L,mg/L,1,3/31/22,10:17:57 AM,2,3/31/22,10:18:01 AM,3,3/31/22,10:18:04 AM
C3,3, ,Na 589.592,Na,589.595,288098.4424,0.650889444,1875.202349,0.159096984,0.159096984,0.159,0.159,0.292415153,0.000465224,0.000465224,mg/L,mg/L,1,3/31/22,10:22:03 AM,2,3/31/22,10:22:07 AM,3,3/31/22,10:22:09 AM
C1b,24, ,Na 589.592,Na,589.595,522294.9814,0.663855697,3467.284989,0.217199395,0.217199395,0.217,0.217,0.396045069,0.000860207,0.000860207,mg/L,mg/L,1,3/31/22,11:57:28 AM,2,3/31/22,11:57:32 AM,3,3/31/22,11:57:35 AM
C2b,25, ,Na 589.592,Na,589.595,464766.1652,1.254580599,5830.866138,0.202926926,0.202926926,0.203,0.203,0.712864648,0.001446594,0.001446594,mg/L,mg/L,1,3/31/22,12:01:31 PM,2,3/31/22,12:01:34 PM,3,3/31/22,12:01:38 PM
C3b,26, ,Na 589.592,Na,589.595,311506.1794,0.177297432,552.2924556,0.164904268,0.164904268,0.165,0.165,0.083090409,0.00013702,0.00013702,mg/L,mg/L,1,3/31/22,12:05:30 PM,2,3/31/22,12:05:33 PM,3,3/31/22,12:05:35 PM
