Cap	Salt	Cadmium	Timepoint	Plant	TissueType	DryWeight	VolDigestUsed	Sample	Element	ConcSamp	ConcRep	ConcCor
1	1	0	0	1	old leaf	0.10951	0.4	SKT_01	Zn	0.297609267	0.298	0.290683973
2	1	0	0	1	young leaf	0.026	0.5	SKT_02	Zn	0.200093789	0.2	0.193168495
3	1	0	0	1	root	0.0029	0.7	SKT_03	Zn	0.136130906	0.136	0.129205612
4	1	0	0	2	old leaf	0.04946	0.5	SKT_04	Zn	0.138089845	0.138	0.131164551
5	1	0	0	2	young leaf	0.01384	0.7	SKT_05	Zn	0.112295583	0.112	0.105370289
6	1	0	0	2	root	0.00087	0.7	SKT_06	Zn	0.04412155	0.044	0.037196256
7	1	0	0	3	old leaf	0.06652	0.4	SKT_07	Zn	0.724667963	0.725	0.717742669
8	1	0	0	3	young leaf	0.04741	0.5	SKT_08	Zn	0.280237571	0.28	0.273312277
9	1	0	0	3	root	0.00169	0.7	SKT_09	Zn	0.068471232	0.068	0.061545938
10	1	0	1	1	old leaf	0.06685	0.4	SKT_10	Zn	0.383007737	0.383	0.376082443
11	1	0	1	1	young leaf	0.0075	0.7	SKT_11	Zn	0.068648636	0.069	0.061723342
12	1	0	1	1	root	0.00146	0.7	SKT_12	Zn	0.080512551	0.081	0.073587257
13	1	0	1	2	old leaf	0.01357	0.7	SKT_13	Zn	0.083206109	0.083	0.076280815
14	1	0	1	2	young leaf	0.00244	0.7	SKT_14	Zn	0.022515297	0.023	0.015590003
15	1	0	1	2	root	0.00086	0.7	SKT_15	Zn	0.03368383	0.034	0.026758536
16	1	0	1	3	old leaf	0.03447	0.5	SKT_16	Zn	0.242391536	0.242	0.235466242
17	1	0	1	3	young leaf	0.01089	0.7	SKT_17	Zn	0.096175068	0.096	0.089249774
18	1	0	1	3	root	0.0102	0.7	SKT_18	Zn	0.606311025	0.606	0.599385731
19	1	0	2	1	old leaf	0.03178	0.5	SKT_19	Zn	0.15827765	0.158	0.151352356
20	1	0	2	1	young leaf	0.00796	0.7	SKT_20	Zn	0.076230307	0.076	0.069305013
21	1	0	2	1	root	0.00145	0.7	SKT_21	Zn	0.094165964	0.094	0.086924251
22	1	0	2	2	old leaf	0.01486	0.7	SKT_22	Zn	0.071430113	0.071	0.0641884
23	1	0	2	2	young leaf	0.00285	0.7	SKT_23	Zn	0.041800083	0.042	0.03455837
24	1	0	2	2	root	0.00329	0.7	SKT_24	Zn	0.030472751	0.03	0.023231038
25	1	0	2	3	old leaf	0.03215	0.5	SKT_25	Zn	0.233223797	0.233	0.225982084
26	1	0	2	3	young leaf	0.0097	0.7	SKT_26	Zn	0.097068791	0.097	0.089827078
27	1	0	2	3	root	0.0043	0.7	SKT_27	Zn	0.122790783	0.123	0.11554907
55	0	1	0	1	old leaf	0.01027	0.7	SKT_28	Zn	0.02410635	0.024	0.016864637
56	0	1	0	1	young leaf	0.01377	0.7	SKT_29	Zn	0.069379632	0.069	0.062137919
57	0	1	0	1	root	0.00161	0.7	SKT_30	Zn	0.060709961	0.061	0.053468248
58	0	1	0	2	old leaf	0.04048	0.5	SKT_31	Zn	0.249736526	0.25	0.242494813
59	0	1	0	2	young leaf	0.02221	0.5	SKT_32	Zn	0.083353924	0.083	0.076112211
60	0	1	0	2	root	0.00136	0.7	SKT_33	Zn	0.195811935	0.196	0.188570222
61	0	1	0	3	old leaf	0.06928	0.4	SKT_34	Zn	0.353550206	0.354	0.346308493
62	0	1	0	3	young leaf	0.02692	0.5	SKT_35	Zn	0.086734984	0.087	0.079493271
63	0	1	0	3	root	0.00205	0.7	SKT_36	Zn	0.068435018	0.068	0.061193305
64	0	1	1	1	old leaf	0.0158	0.7	SKT_37	Zn	0.054405813	0.054	0.0471641
65	0	1	1	1	young leaf	0.0042	0.7	SKT_38	Zn	0.024194308	0.024	0.016952595
66	0	1	1	1	root	0.00109	0.7	SKT_39	Zn	0.034790262	0.035	0.027548549
67	0	1	1	2	old leaf	0.02225	0.5	SKT_40	Zn	0.189881098	0.19	0.182639385
68	0	1	1	2	young leaf	0.01885	0.7	SKT_41	Zn	0.083934382	0.084	0.076692669
69	0	1	1	2	root	0.00414	0.7	SKT_42	Zn	0.701791338	0.702	0.694549625
70	0	1	1	3	old leaf	0.05336	0.5	SKT_43	Zn	0.323241935	0.323	0.316000222
71	0	1	1	3	young leaf	0.01974	0.7	SKT_44	Zn	0.098539225	0.099	0.091297512
72	0	1	1	3	root	0.00194	0.7	SKT_45	Zn	0.049327472	0.049	0.042085759
73	0	1	2	1	old leaf	0.01725	0.7	SKT_46	Zn	0.05277526	0.053	0.045533547
74	0	1	2	1	young leaf	0.01065	0.7	SKT_47	Zn	0.058424327	0.058	0.051182614
75	0	1	2	1	root	0.0009	0.7	SKT_48	Zn	0.044906212	0.045	0.037664499
76	0	1	2	2	old leaf	0.06388	0.4	SKT_49	Zn	0.256588065	0.257	0.249346352
77	0	1	2	2	young leaf	0.02182	0.5	SKT_50	Zn	0.072315299	0.072	0.065073586
78	0	1	2	2	root	0.00432	0.7	SKT_51	Zn	0.627924663	0.628	0.62068295
79	0	1	2	3	old leaf	0.09999	0.4	SKT_52	Zn	0.423256284	0.423	0.416014571
80	0	1	2	3	young leaf	0.04808	0.5	SKT_53	Zn	0.199657036	0.2	0.192415323
81	0	1	2	3	root	0.00432	0.7	SKT_54	Zn	0.157675865	0.158	0.150434152
